voter_id,film_title,film_url,film_id,film_year,film_director
351,Raging Bull,https://www2.bfi.org.uk/films-tv-people/4ce2b6bf2249d,4ce2b6bf2249d,1980,Martin Scorsese
351,Rashomon,https://www2.bfi.org.uk/films-tv-people/4ce2b6b3ec3fe,4ce2b6b3ec3fe,1950,Akira Kurosawa
351,Rosemary's Baby,https://www2.bfi.org.uk/films-tv-people/4ce2b6b4a78c6,4ce2b6b4a78c6,1968,Roman Polanski
351,"Searchers, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6b54abdf,4ce2b6b54abdf,1956,John Ford
351,Vertigo,https://www2.bfi.org.uk/films-tv-people/4ce2b6b9caca4,4ce2b6b9caca4,1958,Alfred Hitchcock
331,"Atalante, L'",https://www2.bfi.org.uk/films-tv-people/4ce2b6a439bc9,4ce2b6a439bc9,1934,Jean Vigo
331,"Blonde in Love, A",https://www2.bfi.org.uk/films-tv-people/4ce2b6ae842a3,4ce2b6ae842a3,1965,Milos Forman
331,Casablanca,https://www2.bfi.org.uk/films-tv-people/4ce2b82020179,4ce2b82020179,1942,Michael Curtiz
331,M,https://www2.bfi.org.uk/films-tv-people/4ce2b6af6aedd,4ce2b6af6aedd,1931,Fritz Lang
331,Man with a Movie Camera,https://www2.bfi.org.uk/films-tv-people/4ce2b6a21d217,4ce2b6a21d217,1929,Dziga Vertov
331,Miracle in Milan,https://www2.bfi.org.uk/films-tv-people/4ce2b6b082150,4ce2b6b082150,1951,Vittorio de Sica
331,Mother and Son,https://www2.bfi.org.uk/films-tv-people/4ce2b7fdef9f7,4ce2b7fdef9f7,1997,Aleksandr Sokurov
331,Sherlock Jr,https://www2.bfi.org.uk/films-tv-people/4ce2b6b5b13f5,4ce2b6b5b13f5,1924,Buster Keaton
331,Szindbád,https://www2.bfi.org.uk/films-tv-people/4ce2b6b7887f0,4ce2b6b7887f0,1972,Zoltán Huszárik
331,Vivre Sa Vie,https://www2.bfi.org.uk/films-tv-people/4ce2b6ba057c9,4ce2b6ba057c9,1962,Jean-Luc Godard
887,Cyclo,https://www2.bfi.org.uk/films-tv-people/4ce2b7dc5eb86,4ce2b7dc5eb86,1995,Tran Anh Hung
887,Do The Right Thing,https://www2.bfi.org.uk/films-tv-people/4ce2b794e6dfb,4ce2b794e6dfb,1989,Spike Lee
887,Don't Look Now,https://www2.bfi.org.uk/films-tv-people/4ce2b6a91da80,4ce2b6a91da80,1973,Nicolas Roeg
887,"Godfather: Part I, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6ab4237b,4ce2b6ab4237b,1972,Francis Ford Coppola
887,Once Upon a Time in the West,https://www2.bfi.org.uk/films-tv-people/4ce2b6a754af6,4ce2b6a754af6,1968,Sergio Leone
887,Raging Bull,https://www2.bfi.org.uk/films-tv-people/4ce2b6bf2249d,4ce2b6bf2249d,1980,Martin Scorsese
887,"Story of Qiu Ju, The",https://www2.bfi.org.uk/films-tv-people/4ce2b7c15ad7a,4ce2b7c15ad7a,1992,Zhang Yimou
887,Ugetsu Monogatari,https://www2.bfi.org.uk/films-tv-people/4ce2b6b94daff,4ce2b6b94daff,1953,Mizoguchi Kenji
887,Vertigo,https://www2.bfi.org.uk/films-tv-people/4ce2b6b9caca4,4ce2b6b9caca4,1958,Alfred Hitchcock
887,When We Were Kings,https://www2.bfi.org.uk/films-tv-people/4ce2b7f0cbcc9,4ce2b7f0cbcc9,1996,Leon Gast
349,8½,https://www2.bfi.org.uk/films-tv-people/4ce2b6b25bb2b,4ce2b6b25bb2b,1963,Federico Fellini
349,Dogville,https://www2.bfi.org.uk/films-tv-people/4ce2b85bbfe0f,4ce2b85bbfe0f,2003,Lars von Trier
349,In The Mood For Love,https://www2.bfi.org.uk/films-tv-people/4ce2b8485aac9,4ce2b8485aac9,2000,Wong Kar Wai
349,Metropolis,https://www2.bfi.org.uk/films-tv-people/4ce2b6b0544c6,4ce2b6b0544c6,1927,Fritz Lang
349,Mulholland Dr,https://www2.bfi.org.uk/films-tv-people/4ce2b8379038e,4ce2b8379038e,2001,David Lynch
349,Orlando,https://www2.bfi.org.uk/films-tv-people/4ce2b7a5f2b8b,4ce2b7a5f2b8b,1992,Sally Potter
349,Scenes from a Marriage,https://www2.bfi.org.uk/films-tv-people/4ce2b6b52ac87,4ce2b6b52ac87,1995,Ingmar Bergman
349,Thelma & Louise,https://www2.bfi.org.uk/films-tv-people/4ce2b7a36431f,4ce2b7a36431f,1991,Ridley Scott
349,"Trip to the Moon, A",https://www2.bfi.org.uk/films-tv-people/4ce2b6a453c5b,4ce2b6a453c5b,1902,Georges Méliès
349,"Wizard of Oz, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6bb09360,4ce2b6bb09360,1939,Victor Fleming
3,8½,https://www2.bfi.org.uk/films-tv-people/4ce2b6b25bb2b,4ce2b6b25bb2b,1963,Federico Fellini
3,Closely Observed Trains,https://www2.bfi.org.uk/films-tv-people/4ce2b6b253b86,4ce2b6b253b86,1966,Jiří Menzel
3,Crimes and Misdemeanors,https://www2.bfi.org.uk/films-tv-people/4ce2b79fd264c,4ce2b79fd264c,1989,Woody Allen
3,"Naked Island, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6abb48ac,4ce2b6abb48ac,1961,Shindo Kaneto 
3,Marketa Lazarová,https://www2.bfi.org.uk/films-tv-people/4ce2b740d3924,4ce2b740d3924,1967,Frantisek Vlácil
3,Mirror,https://www2.bfi.org.uk/films-tv-people/4ce2b6bb90873,4ce2b6bb90873,1974,Andrei Tarkovsky
3,Padre padrone,https://www2.bfi.org.uk/films-tv-people/4ce2b6bee8c0e,4ce2b6bee8c0e,1977,Paolo and Vittorio Taviani
3,"Sporting Life, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6bf4bc15,4ce2b6bf4bc15,1963,Lindsay Anderson
3,"Tree of Wooden Clogs, The",https://www2.bfi.org.uk/films-tv-people/4ce2b6e9c78a5,4ce2b6e9c78a5,1978,Ermano Olmi
3,Wild Strawberries,https://www2.bfi.org.uk/films-tv-people/4ce2b6b6466ce,4ce2b6b6466ce,1957,Ingmar Bergman
403,8½,https://www2.bfi.org.uk/films-tv-people/4ce2b6b25bb2b,4ce2b6b25bb2b,1963,Federico Fellini
403,2001: A Space Odyssey,https://www2.bfi.org.uk/films-tv-people/4ce2b6b9450a5,4ce2b6b9450a5,1968,Stanley Kubrick
403,Ah Ying,,,,Allen Fong
403,Hiroshima Mon Amour,https://www2.bfi.org.uk/films-tv-people/4ce2b6ac59a0b,4ce2b6ac59a0b,1959,Alain Resnais
403,Lawrence of Arabia,https://www2.bfi.org.uk/films-tv-people/4ce2b6aea50ea,4ce2b6aea50ea,1962,David Lean
403,Pierrot le Fou,https://www2.bfi.org.uk/films-tv-people/4ce2b6b310bc0,4ce2b6b310bc0,1965,Jean-Luc Godard
403,Red Desert,https://www2.bfi.org.uk/films-tv-people/4ce2b6a8b1185,4ce2b6a8b1185,1964,Michelangelo Antonioni
403,"Road, The",https://www2.bfi.org.uk/films-tv-people/4ce2b8bc050f0,4ce2b8bc050f0,2006,Sun Yu
403,Seven Samurai,https://www2.bfi.org.uk/films-tv-people/4ce2b6b5b6382,4ce2b6b5b6382,1954,Akira Kurosawa
403,Spring in a Small Town,https://www2.bfi.org.uk/films-tv-people/4ce2b78d95bbe,4ce2b78d95bbe,1948,Fei Mu
405,"dolce vita, La",https://www2.bfi.org.uk/films-tv-people/4ce2b6a90d39d,4ce2b6a90d39d,1960,Federico Fellini
405,Fantomas,https://www2.bfi.org.uk/films-tv-people/4ce2b6a9d6841,4ce2b6a9d6841,1913,Louis Feuillade
405,In a Year of 13 Moons,https://www2.bfi.org.uk/films-tv-people/4ce2b72cca8a0,4ce2b72cca8a0,1978,Rainer Werner Fassbinder
