film_id,title,director,year,country,genre,film_type,category,actors,alternate_titles
4ce2b73366ca1,KALINA KRASNAYA,,1974,USSR,Drama,Film,Fiction,Vassili Shukshin::Lidia Fedoseyeva-Shukshina::Alexei Vanin,The RED THE SNOWBALL BUSH::RED BERRY::SNOWBALL BERRY RED::RED THE ROSE-TREE::The RED SNOWBALL TREE
4ce2b73368f46,KALPANA,,1948,India,Drama,Film,Fiction,Uday Shankar::Amala Shankar,IMAGINATION
4ce2b7337233b,KAMIGAMI NO FUKAKI YOKUBÔ,Shohei Imamura,1968,Japan,Drama,Film,Fiction,Rentarô Mikuni::Chôichorô Kawarazaki::Hideko Okiyama,"A PROFOUND LONGING OF THE GODS::The PROFOUND DESIRE OF THE GODS  TALES FROM A SOUTHERN ISLAND::KURAGEJIMA  TALES FROM A SOUTHERN ISALND::LEGEND FROM SOUTHERN ISLAND::KURAGEJIMA, LEGEND OF A SOUTHERN ISLAND::KURAGEJIMA - LEGENDS FROM A SOUTHERN ISLAND"
4ce2b7338af44,KAOS,,1984,France::Italy,Comedy::Drama,Film,Fiction,Margarita Lozano::Fiorella Mari::Maria Teresa Di Fede,CHAOS::XAOS
4ce2b733a8f0f,The Karnival Kid,Ub Iwerks,1929,USA,Animation,Film,Fiction,Mickey Mouse,
4ce2b734329b0,La Kermesse héroïque,Jacques Feyder,1935,France,Comedy::Period drama,Film,Fiction,Françoise Rosay::Jean Murat::Alerme,Carnival of Flanders::Carnival in flanders
4ce2b7343ecb4,The Killing of America,Sheldon Renan,1982,Japan::USA,Documentary,Film,Non Fiction,Chuck Riley,
4ce2b73453fda,Kind Hearts and Coronets,Robert Hamer,1949,United Kingdom,Comedy::Crime,Film,Fiction,Dennis Price::Valerie Hobson::Joan Greenwood,Noblesse Oblige
4ce2b73474f39,The King of Comedy,Martin Scorsese,1983,USA,Comedy::Crime,Film,Fiction,Robert De Niro::Jerry Lewis::Diahnne Abbott,
4ce2b734a34f8,KINO PRAVDA,Dziga Vertov,1922,USSR,Documentary,Film,Non Fiction,,
4ce2b734c3d4a,Kitch's Last Meal,Carolee Schneemann,1978,USA,,Film,,,
4ce2b7354b521,KODOMO NO SHIKI,,1939,Japan,Drama,Film,Fiction,Reikichi Kawamura::Mitsuko Yoshikawa::Takeshi Sakamoto,FOUR SEASONS OF CHILDREN
4ce2b73552555,KOI YA KOI NASUNA KOI,Tomu Uchida,1962,Japan,Fantasy,Film,Fiction,Hashizo Okawa::Michiko Saga::Yunya Usami,The CUNNING FOX::MAD FOX
4ce2b7359f202,KOROSHI NO RAKUIN,Seijun Suzuki,1967,Japan,Gangster,Film,Fiction,Jô Shishido::Mariko Ogawa::Annu Mari,BRANDED TO KILL
4ce2b735ae1c5,Koyaanisqatsi: Life out of Balance,Godfrey Reggio,1983,USA,Documentary,Film,Non Fiction,,Koyaanisqatsi::Koyaanisqatsi Concerto for Film and Orchestra
4ce2b735b66e4,Kramer vs. Kramer,Robert Benton,1979,USA,Legal and Courtroom drama,Film,Fiction,Dustin Hoffman::Meryl Streep::Jane Alexander,
4ce2b735ec7cc,Kummatty,G. Aravindan,1979,India,Fantasy,Film,Fiction,"Ramunni,::Ashokan::Vilasini Beema",Bogeyman
4ce2b73638802,The Ladies' Man,Jerry Lewis,1961,USA,Comedy,Film,Fiction,Jerry Lewis::Helen Traubel::Kathleen Freeman,
4ce2b7368e57c,Lamentations,R. Bruce Elder,1985,Canada,Artists' Moving Image,Film,,David King::Murray Pomerance::James D. Smith,Lamentations  A Monument to a Dead World
4ce2b736ee9c0,Killer of Sheep,Charles Burnett,1977,USA,Drama,Film,Fiction,Henry G. Sanders::Kaycee Moore::Charles Bracy,
4ce2b737319d3,Landscape Suicide,James Benning,1986,USA,Crime::Biopic,Film,Fiction,Rhonda Bell::Elion Sucher,
4ce2b73739cb6,LANGSAMER SOMMER,John Cook,1976,Austria,Documentary,Film,Non Fiction,Helmut Boselmann::John Cook::Eva Grimm,SLOW SUMMER
4ce2b73744255,LANTOU HE,,1979,Hong Kong,Drama,Film,Fiction,Jimmy Wang Yu::Liu Chia-hui::Lo Lieh,DIRTY HO
4ce2b7377e711,The Last Emperor,Bernardo Bertolucci,1988,People's Republic of China::France::United Kingdom::Italy,Biopic::Historical drama,Film,Fiction,John Lone::Joan Chen::Peter O'Toole,Pu-Yi::L' ultimo imperatore
4ce2b7378be4e,The Last Movie,Dennis Hopper,1971,USA,Drama,Film,Fiction,Dennis Hopper::Stella Garcia::Julie Adams,
4ce2b737a3887,The Last Picture Show,Peter Bogdanovich,1971,USA,Drama,Film,Fiction,Timothy Bottoms::Jeff Bridges::Cybill Shepherd,
4ce2b737b63e3,The Last Temptation of Christ,Martin Scorsese,1988,Canada::USA,Drama,Film,Fiction,Willem Dafoe::Harvey Keitel::Barbara Hershey,The Passion::The Event
4ce2b737eb50b,Laura,Otto Preminger,1944,USA,Police drama::Thriller,Film,Fiction,Gene Tierney::Dana Andrews::Clifton Webb,
4ce2b738ed589,Light Reading,,1979,United Kingdom,Artists' Moving Image,Film,Fiction,,
4ce2b73921037,LIMITE,,1931,Brazil,Drama,Film,Fiction,Taciana Rei::Mário Peixoto::Raul Schnoor,LIMITS::LIMITES
4ce2b73934601,Line Describing a Cone,Anthony McCall,1973,USA,,Film,,,
4ce2b73941572,Die LINKSHÄNDIGE FRAU,Peter Handke,1977,Federal Republic of Germany,Drama,Film,Fiction,Edith Clever::Bruno Ganz::Angela Winkler,The LEFT-HANDED WOMAN
4ce2b7395c85e,Liquid Sky,Slava Tsukerman,1982,USA,Science Fiction,Film,,Anne Carlisle::Paula E. Sheppard::Bob Brady,
4ce2b739e9745,Little Stabs at Happiness,Ken Jacobs,1963,USA,Anthology,Film,Non Fiction,Jack Smith,
4ce2b73a65177,Local Color,,1977,USA,Drama,Film,Fiction,Sm Todd::Jane Campbell::Robert Herron,Local Colour
4ce2b73a66ee4,Local Hero,Bill Forsyth,1983,United Kingdom,Comedy::Drama,Film,Fiction,Peter Riegert::Denis Lawson::Fulton Mackay,
4ce2b73ae9075,Lonesome,Paul Fejös,1928,USA,Drama,Film,Fiction,Barbara Kent::Glenn Tryon::Fay Holderness,Solitude
