actor,films,film_votes,votes_per_film,directors
John Wayne,16,184,11.50,"John Ford, Howard Hawks, Howard Hawks/Arthur Rosson, Raoul Walsh"
Robert De Niro,13,203,15.62,"Martin Scorsese, Sergio Leone, Michael Cimino, Bernardo Bertolucci, Terry Gilliam, Michael Mann, Roland Joffé"
Clint Eastwood,13,35,2.69,"Sergio Leone, Clint Eastwood, Don Siegel, Brian G Hutton"
Cary Grant,12,102,8.50,"Alfred Hitchcock, Howard Hawks, Leo McCarey, George Cukor, Josef von Sternberg, Wesley Ruggles"
Tony Leung Chiu-wai,12,97,8.08,"Wong Kar Wai, Hsiao-hsien Hou, Zhang Yimou, Tran Anh Hung, John Woo, Andrew Lau/Alan Mak, Ang Lee"
Henry Fonda,12,94,7.83,"Sergio Leone, Preston Sturges, John Ford, Sidney Lumet, Otto Preminger, King Vidor, Alfred Hitchcock, Fritz Lang"
Charles Chaplin,11,93,8.45,Charles Chaplin
James Stewart,10,313,31.30,"Alfred Hitchcock, John Ford, Frank Capra, Ernst Lubitsch, Otto Preminger, Frank Borzage, George Cukor, Anthony Mann"
Catherine Deneuve,10,52,5.20,"Jacques Demy, Luis Buñuel, Lars von Trier, Roman Polanski, Vincent Paronnaud/Marjane Satrapi, Andre Techine, François Truffaut"
Jeanne Moreau,10,39,3.90,"François Truffaut, Michelangelo Antonioni, Marcel Ophüls, Rainer Werner Fassbinder, Orson Welles, Louis Malle, Tony Richardson, Peter Brook"
Marcello Mastroianni,9,167,18.56,"Federico Fellini, Michelangelo Antonioni, Mario Monicelli, Valerio Zurlini, Pietro Germi, John Boorman, Luchino Visconti, Marco Ferreri"
Al Pacino,9,143,15.89,"Francis Ford Coppola, Sidney Lumet, Michael Mann, Brian De Palma, Jerry Schatzberg"
Orson Welles,9,99,11.00,"Orson Welles, Claude Chabrol"
Delphine Seyrig,9,95,10.56,"Chantal Akerman, Alain Resnais, Luis Buñuel, Marguerite Duras, François Truffaut, Ulrike Ottinger"
Jean Gabin,9,58,6.44,"Jean Renoir, Marcel Carné, Jacques Becker, Henri Decoin, Jean Grémillon, Julien Duviver"
Jean-Louis Trintignant,9,55,6.11,"Bernardo Bertolucci, Eric Rohmer, Krzysztof Kieslowski, Costa-Gavras, Michael Haneke, Dino Risi, Alain Robbe-Grillet, Claude Lelouch"
Woody Allen,9,55,6.11,Woody Allen
Marlon Brando,8,171,21.38,"Francis Ford Coppola, Elia Kazan, Bernardo Bertolucci, Gillo Pontecorvo, Charles Chaplin, Joseph L. Mankiewicz, Richard Donner"
Toshiro Mifune,8,157,19.63,"Akira Kurosawa, Inagaki Hiroshi"
Jean-Pierre Léaud,8,109,13.63,"François Truffaut, Jean Eustache, Jacques Rivette, Jerzy Skolimowski, Pier Paolo Pasolini, Philippe Garrel"
Ingrid Bergman,8,94,11.75,"Roberto Rossellini, Michael Curtiz, Alfred Hitchcock, Leo McCarey, Vincente Minnelli"
Kinuyo Tanaka,8,87,10.88,"Mizoguchi Kenji, Ozu Yasujirô, Naruse Mikio, Shimizu Hiroshi"
Buster Keaton,8,86,10.75,"Buster Keaton, Buster Keaton/John G. Blystone"
Michel Piccoli,8,77,9.63,"Jean-Luc Godard, Luis Buñuel, Claude Sautet, Mario Bava, Marco Ferreri, Leos Carax"
Gena Rowlands,8,64,8.00,"John Cassavetes, Jim Jarmusch, Woody Allen"
Robert Mitchum,8,64,8.00,"Charles Laughton, Jacques Tourneur, Nicholas Ray, David Lean, Howard Hawks, John Huston, Vincente Minnelli, Raoul Walsh"
Max von Sydow,8,52,6.50,"Ingmar Bergman, William Friedkin, Lars von Trier, Jan Troell, Steven Spielberg"
Gene Hackman,8,26,3.25,"Francis Ford Coppola, William Friedkin, Clint Eastwood, Wes Anderson, Ernie Gehr, Alan Parker, Jerry Schatzberg, Richard Donner"
Isabelle Huppert,8,21,2.63,"Jean-Luc Godard, Claire Denis, Michael Haneke, Claude Goretta, Maurice Pialat, Claude Chabrol"
Gary Cooper,8,9,1.13,"Josef von Sternberg, Ernst Lubitsch, Raoul Walsh, King Vidor, Fred Zinemann, Billy Wilder, Henry Hathaway, Robert Aldrich"
Joseph Cotten,7,265,37.86,"Orson Welles, Carol Reed, Alfred Hitchcock, King Vidor, William Dieterle"
Alain Delon,7,104,14.86,"Michelangelo Antonioni, Luchino Visconti, Jean-Pierre Melville, Jean-Luc Godard, Valerio Zurlini"
Jack Nicholson,7,89,12.71,"Roman Polanski, Stanley Kubrick, Michelangelo Antonioni, Milos Forman, Bob Rafelson, Martin Scorsese"
Lillian Gish,7,75,10.71,"Charles Laughton, D.W. Griffith, Victor Sjöström"
Humphrey Bogart,7,60,8.57,"Michael Curtiz, Nicholas Ray, Howard Hawks, John Huston"
Juliette Binoche,7,48,6.86,"Michael Haneke, Krzysztof Kieslowski, Leos Carax, Abbas Kiarostami, Philip Kaufman"
Hanna Schygulla,7,29,4.14,"Béla Tarr, Jean-Luc Godard, Rainer Werner Fassbinder"
Harvey Keitel,7,26,3.71,"Jane Campion, Quentin Tarantino, Nicolas Roeg, Martin Scorsese, James Toback, Ridley Scott"
Jerry Lewis,7,18,2.57,"Martin Scorsese, Jerry Lewis, Frank Tashlin"
Marlene Dietrich,7,14,2.00,"Ernst Lubitsch, Josef von Sternberg"
Gérard Depardieu,7,13,1.86,"Bernardo Bertolucci, Bertrand Blier, Alain Resnais, François Truffaut, Jean-Paul Rappeaneau, Marguerite Duras"
Paul Newman,7,12,1.71,"George Roy Hill, Martin Ritt, Robert Rossen, Stuart Rosenberg, Arthur Penn, John Huston"
Werner Herzog,7,9,1.29,"Werner Herzog, Les Blank, Harmony Korine, Klaus Kinski, Wim Wenders"
Chishu Ryu,6,228,38.00,"Ozu Yasujirô, Wim Wenders"
Setsuko Hara,6,222,37.00,"Ozu Yasujirô, Naruse Mikio"
Jean-Paul Belmondo,6,127,21.17,"Jean-Luc Godard, Jean-Pierre Melville, Peter Brook, Alain Resnais"
Liv Ullmann,6,96,16.00,"Ingmar Bergman, Jan Troell"
Fernando Rey,6,57,9.50,"Luis Buñuel, William Friedkin, Lina Wertmüller"
Harrison Ford,6,57,9.50,"Ridley Scott, George Lucas, Steven Spielberg, Irvin Kershner, Peter Weir"
Ingrid Thulin,6,54,9.00,"Ingmar Bergman, Luchino Visconti"
Anton Walbrook,6,51,8.50,"Michael Powell/Emeric Pressburger, Max Ophüls, Otto Preminger"
Deborah Kerr,6,51,8.50,"Michael Powell/Emeric Pressburger, Leo McCarey, Jack Clayton, Otto Preminger, John Huston"
Shelley Winters,6,51,8.50,"Charles Laughton, Roman Polanski, George Stevens, Stanley Kubrick, George Cukor, Anthony Mann"
John Cassavetes,6,50,8.33,"John Cassavetes, Roman Polanski, Elaine May, Brian de Palma"
Alida Valli,6,45,7.50,"Carol Reed, Georges Franju, Michelangelo Antonioni, Henri Colpi, Goffredo Alessandrini, Luchino Visconti"
James Mason,6,45,7.50,"Alfred Hitchcock, George Cukor, Nicholas Ray, Stanley Kubrick, Carol Reed, Max Ophüls"
Faye Dunaway,6,39,6.50,"Roman Polanski, Arthur Penn, Sidney Lumet, Luc Besson, Jerry Schatzberg, Sydney Pollack"
Sean Penn,6,39,6.50,"Terrence Malick, Alejandro González Iñárritu, Brian De Palma, Amy Heckerling, David Fincher"
Julianne Moore,6,24,4.00,"Joel & Ethan Coen, Todd Haynes, Alfonso Cuarón, Stephen Daldry, Lisa Cholodenko"
Jeff Bridges,6,23,3.83,"Joel & Ethan Coen, Peter Bogdanovich, John Huston, Peter Weir, Steven Lisberger"
Trevor Howard,6,23,3.83,"David Lean, Luchino Visconti, Tony Richardson, Carol Reed, Steve Robert"
Gong Li,6,20,3.33,"Wong Kar Wai, Chen Kaige, Zhang Yimou"
Nicole Kidman,6,19,3.17,"Lars von Trier, Stanley Kubrick, Baz Luhrmann, Jonathan Glazer, Stephen Daldry, Noah Baumbach"
Dustin Hoffman,6,17,2.83,"Mike Nichols, John Schlesinger, Sydney Pollack, Alan J Pakula, Robert Benton, Barry Levinson"
Tom Cruise,6,17,2.83,"Paul Thomas Anderson, Stanley Kubrick, Oliver Stone, Steven Spielberg, Brian De Palma, Barry Levinson"
Dana Andrews,6,16,2.67,"William Wyler, Otto Preminger, Jacques Tourneur, Fritz Lang"
Rock Hudson,6,16,2.67,"Douglas Sirk, Howard Hawks, Roger Vadim"
Christopher Plummer,6,13,2.17,"Robert Wise, Michael Mann, Terrence Malick, Pete Docter/Bob Peterson, Jeannot Szwarc, Nicholas Ray"
Frank Sinatra,6,10,1.67,"Vincente Minnelli, John Frankenheimer, Joseph L. Mankiewicz, Charles Walters, Stanley Donen/Gene Kelly, Gordon Douglas"
Judy Davis,6,10,1.67,"Joel & Ethan Coen, Gillian Armstrong, Woody Allen, Sofia Coppola, David Lean"
Walter Matthau,6,8,1.33,"Nicholas Ray, Michael Ritchie, Don Siegel, Billy Wilder, Jack Lemmon, Elaine May"
Takashi Shimura,5,160,32.00,"Akira Kurosawa, Ishirô Honda"
Jack Lemmon,5,76,15.20,"Billy Wilder, Robert Altman, Costa-Gavras"
Anna Karina,5,70,14.00,Jean-Luc Godard
Maggie Cheung Man-yuk,5,64,12.80,"Wong Kar Wai, Zhang Yimou, Jackie Chan"
Gene Kelly,5,61,12.20,"Stanley Donen/Gene Kelly, Vincente Minnelli"
George Sanders,5,59,11.80,"Roberto Rossellini, Joseph L. Mankiewicz, Fritz Lang, Alfred Hitchcock"
Masayuki Mori,5,56,11.20,"Mizoguchi Kenji, Naruse Mikio, Akira Kurosawa"
Burt Lancaster,5,49,9.80,"Luchino Visconti, Alexander Mackendrick, Frank Perry, Robert Aldrich"
Ben Gazzara,5,42,8.40,"John Cassavetes, Otto Preminger, Vincent Gallo"
Dennis Hopper,5,42,8.40,"David Lynch, Peter Fonda/Dennis Hopper, Wim Wenders, Dennis Hopper, Tony Scott"
Sterling Hayden,5,39,7.80,"Stanley Kubrick, Nicholas Ray, Robert Altman, John Huston"
Gunnar Björnstrand,5,35,7.00,Ingmar Bergman
Julie Christie,5,32,6.40,"Nicolas Roeg, Robert Altman, David Lean, Joseph Losey, Richard Lester"
Brad Pitt,5,27,5.40,"Terrence Malick, David Fincher, Quentin Tarantino, Andrew Dominik, Alejandro González Iñárritu"
Kirk Douglas,5,25,5.00,"Jacques Tourneur, Stanley Kubrick, Billy Wilder, Vincente Minnelli, Brian de Palma"
Roy Scheider,5,23,4.60,"Steven Spielberg, William Friedkin, Bob Fosse, Paul Schrader"
Sissy Spacek,5,23,4.60,"Terrence Malick, Brian de Palma, Robert Altman, Costa-Gavras, David Lynch"
Dirk Bogarde,5,22,4.40,"Luchino Visconti, Alain Resnais, Joseph Losey, Basil Dearden"
Mia Farrow,5,22,4.40,"Roman Polanski, Woody Allen"
Katharine Hepburn,5,21,4.20,"Howard Hawks, George Cukor, John Huston"
Maureen O'Hara,5,21,4.20,John Ford
Tatsuya Nakadai,5,21,4.20,"Akira Kurosawa, Kobayashi Masaki"
Ralph Richardson,5,19,3.80,"Orson Welles, Carol Reed, Lindsay Anderson, William Cameron Menzies"
Warren Beatty,5,18,3.60,"Robert Altman, Arthur Penn, Elia Kazan, Robert Rossen, Warren Beatty"
Hideko Takamine,5,17,3.40,"Naruse Mikio, Kobayashi Masaki"
Lee Kang-sheng,5,17,3.40,"Tsai Ming Liang, Tsai Ming-Liang"
Edna Purviance,5,15,3.00,Charles Chaplin
Joel McCrea,5,15,3.00,"Preston Sturges, Raoul Walsh, Jacques Tourneur, Alfred Hitchcock"
Robert Redford,5,10,2.00,"George Roy Hill, Alan J Pakula, Sydney Pollack"
Simone Signoret,5,10,2.00,"Chris Marker, Henri-Georges Clouzot, Jack Clayton, Jacques Becker, Max Ophüls"
Christopher Walken,5,9,1.80,"Michael Cimino, Abel Ferrara, Philippe Mora"
Gregory Peck,5,8,1.60,"Robert Mulligan, William Wyler, Alfred Hitchcock, Henry King"
Helena Bonham Carter,5,7,1.40,"David Fincher, Tim Burton, James Ivory, Tom Hooper"
Audrey Hepburn,5,6,1.20,"Blake Edwards, Billy Wilder, William Wyler, Stanley Donen, King Vidor"
Willem Dafoe,5,6,1.20,"David Lynch, Lars von Trier, Martin Scorsese, Alan Parker, Abel Ferrara"
Claudia Cardinale,4,169,42.25,"Federico Fellini, Sergio Leone, Luchino Visconti, Klaus Kinski"
Anouk Aimée,4,157,39.25,"Federico Fellini, Jacques Demy, Claude Lelouch"
Vera Miles,4,155,38.75,"John Ford, Alfred Hitchcock"
Monica Vitti,4,108,27.00,Michelangelo Antonioni
Michel Simon,4,88,22.00,"Jean Vigo, Jean Renoir, Marcel Carné"
Jean Seberg,4,87,21.75,"Jean-Luc Godard, Otto Preminger, Robert Rossen, Philippe Garrel"
Diane Keaton,4,85,21.25,"Francis Ford Coppola, Woody Allen, Warren Beatty"
Machiko Kyo,4,69,17.25,"Akira Kurosawa, Ozu Yasujirô, Mizoguchi Kenji"
Francisco Rabal,4,67,16.75,"Michelangelo Antonioni, Luis Buñuel, William Friedkin"
William Holden,4,64,16.00,"Billy Wilder, Sam Peckinpah, Sidney Lumet, David Lean"
Jacques Tati,4,53,13.25,Jacques Tati
Dean Martin,4,36,9.00,"Howard Hawks, Vincente Minnelli, Frank Tashlin"
Grégoire Colin,4,36,9.00,"Claire Denis, Milcho Manchevski"
Alec Guinness,4,35,8.75,"David Lean, Alexander Mackendrick"
Judy Garland,4,35,8.75,"Vincente Minnelli, Victor Fleming, George Cukor"
Klaus Kinski,4,35,8.75,"Werner Herzog, Les Blank, Klaus Kinski"
Pierre Brasseur,4,34,8.50,"Marcel Carné, Georges Franju, Walerian Borowczyk, Jean Grémillon"
Ned Beatty,4,33,8.25,"Robert Altman, John Boorman, Elaine May, John Huston"
Shirley MacLaine,4,33,8.25,"Billy Wilder, Vincente Minnelli, Frank Tashlin, Hal Ashby"
François Périer,4,31,7.75,"Jean-Pierre Melville, Federico Fellini, Jean Cocteau, Alain Resnais"
Vanessa Redgrave,4,30,7.50,"Michelangelo Antonioni, Ken Russell, Tony Richardson, James Ivory"
Stefania Sandrelli,4,29,7.25,"Bernardo Bertolucci, Pietro Germi, Antonio Pietrangeli, Ettore Scola"
Barbara Stanwyck,4,28,7.00,"Preston Sturges, Billy Wilder, Fritz Lang, Lee Stanley"
Peter Sellers,4,27,6.75,"Stanley Kubrick, Blake Edwards, Hal Ashby, John Boulting"
Raymond Massey,4,25,6.25,"Michael Powell/Emeric Pressburger, Elia Kazan, King Vidor, William Cameron Menzies"
Emil Jannings,4,24,6.00,"F. W. Murnau, Josef von Sternberg"
Herbert Marshall,4,24,6.00,"Ernst Lubitsch, Josef von Sternberg, Alfred Hitchcock"
Daniel Auteuil,4,22,5.50,"Michael Haneke, Patrice Leconte, Claude Sautet, Patrice Chereau"
Erland Josephson,4,22,5.50,"Andrei Tarkovsky, Ingmar Bergman"
Leslie Cheung Kwok-wing,4,22,5.50,"Wong Kar Wai, Chen Kaige"
John Hurt,4,20,5.00,"Lars von Trier, David Lynch, Michael Cimino, Roger Corman"
Anna Magnani,4,19,4.75,"Roberto Rossellini, Jean Renoir, Pier Paolo Pasolini, Luchino Visconti"
Bulle Ogier,4,19,4.75,"Jacques Rivette, Rainer Werner Fassbinder"
Daniel Day-Lewis,4,19,4.75,"Paul Thomas Anderson, Martin Scorsese, Michael Mann, Philip Kaufman"
Annie Girardot,4,18,4.50,"Luchino Visconti, Michael Haneke, Marco Ferreri, Marcel Carné"
Gunnel Lindblom,4,16,4.00,Ingmar Bergman
Holly Hunter,4,16,4.00,"Jane Campion, Joel & Ethan Coen, James L Brooks, David Cronenberg"
Paul Meurisse,4,16,4.00,"Jean-Pierre Melville, Henri-Georges Clouzot, Jean Renoir"
Robert Shaw,4,16,4.00,"Steven Spielberg, Clive Donner, Fred Zinnemann, George Roy Hill"
Soumitra Chatterjee,4,16,4.00,Satyajit Ray
Anne Bancroft,4,15,3.75,"Mike Nichols, David Lynch, John Ford, Arthur Penn"
Fred Astaire,4,14,3.50,"Vincente Minnelli, Mark Sandrich, George Stevens"
Jean Marais,4,14,3.50,"Jean Cocteau, Jacques Demy, Luchino Visconti"
Cyd Charisse,4,13,3.25,"Vincente Minnelli, Nicholas Ray, Stanley Donen/Gene Kelly"
Zhao Tao,4,13,3.25,Jia Zhang Ke
Lee J. Cobb,4,13,3.25,"Elia Kazan, Sidney Lumet, William Friedkin, Nicholas Ray"
Ellen Burstyn,4,12,3.00,"Alain Resnais, William Friedkin, Darren Aronofsky, Martin Scorsese"
Isuzu Yamada,4,12,3.00,"Akira Kurosawa, Mizoguchi Kenji, Naruse Mikio"
Franco Citti,4,11,2.75,Pier Paolo Pasolini
Joan Crawford,4,11,2.75,"Nicholas Ray, Otto Preminger, Michael Curtiz, Tod Browning"
Rachel Roberts,4,11,2.75,"Peter Weir, Lindsay Anderson, Karel Reiz"
Andy Lau Tak-wah,4,11,2.75,"Wong Kar Wai, Zhang Yimou, Andrew Lau/Alan Mak"
Farley Granger,4,10,2.50,"Nicholas Ray, Alfred Hitchcock, Luchino Visconti"
Massimo Girotti,4,10,2.50,"Pier Paolo Pasolini, Luchino Visconti, Jean Grémillon, Michelangelo Antonioni"
Claudette Colbert,4,9,2.25,"Frank Capra, Preston Sturges, Ernst Lubitsch, Mitchell Leisen"
Jean-Claude Brialy,4,9,2.25,"Luis Buñuel, Eric Rohmer, Jean-Luc Godard, François Truffaut"
Kati Outinen,4,9,2.25,"Aki Kaurismaki, Aki Kaurismäki"
Oliver Reed,4,9,2.25,"Ken Russell, David Cronenberg, Lionel Bart"
Tom Hanks,4,9,2.25,"John Lasseter, Robert Zemeckis, John Lasseter/Ash Brannon/Lee Unkrich, Lee Unkrich"
Anthony Hopkins,4,8,2.00,"David Lynch, James Ivory, Richard Attenborough, Jonathan Demme"
Melvyn Douglas,4,8,2.00,"Ernst Lubitsch, Hal Ashby, Martin Ritt, James Whale"
Michael Caine,4,8,2.00,"Woody Allen, Alfonso Cuarón, Mike Hodges, Tony Maylam"
Michiyo Aratama,4,8,2.00,"Ozu Yasujirô, Kobayashi Masaki"
Jacques Dutronc,4,7,1.75,"Jean-Luc Godard, Claude Chabrol, Andrzej Zulawski, Maurice Pialat"
Jon Voight,4,7,1.75,"John Schlesinger, John Boorman, Brian De Palma, Francis Ford Coppola"
Ken Uehara,4,7,1.75,"Naruse Mikio, Mizoguchi Kenji"
Rentarô Mikuni,4,7,1.75,"Imamura Shohei, Kobayashi Masaki, Teshigahara Hiroshi"
Albert Finney,4,6,1.50,"Karel Reiz, John Huston, Steven Soderbergh, Stanley Donen"
Emmanuelle Béart,4,6,1.50,"Jacques Rivette, Claude Sautet, Brian De Palma"
Meryl Streep,4,6,1.50,"Robert Benton, Sydney Pollack, Clint Eastwood, Stephen Daldry"
Michael Redgrave,4,6,1.50,"Humphrey Jennings, Alfred Hitchcock, Anthony Asquith, Joseph Losey"
Charles Laughton,4,5,1.25,"Leo McCarey, Otto Preminger, Erle C Kenton, James Whale"
Joan Blondell,4,5,1.25,"Mervyn LeRoy, Busby Berkeley, Edmund Goulding, Elia Kazan"
Leonardo DiCaprio,4,5,1.25,"James Cameron, Martin Scorsese, Christopher Nolan, Baz Luhrmann"
Richard Burton,4,5,1.25,"Mike Nichols, Nicholas Ray, John Akomfrah, Brian G Hutton"
Giancarlo Giannini,4,4,1.00,"Valerio Zurlini, Luchino Visconti, Lina Wertmüller, Lina Wertmuller"
Lucia Bosè,4,4,1.00,"Giulio Questi, Michelangelo Antonioni, Luis Buñuel, Danield Schmid"
Mel Gibson,4,4,1.00,"Peter Weir, George Miller"
Susan Sarandon,4,4,1.00,"Ron Shelton, Billy Wilder, Jim Sharman, Ridley Scott"
Vincent Gallo,4,4,1.00,"Vincent Gallo, Abel Ferrara, Claire Denis"
Agnes Moorehead,3,208,69.33,"Orson Welles, Douglas Sirk"
Robert Duvall,3,139,46.33,"Francis Ford Coppola, Sam Peckinpah"
Bibi Andersson,3,103,34.33,Ingmar Bergman
Joe Pesci,3,80,26.67,Martin Scorsese
James Caan,3,77,25.67,"Francis Ford Coppola, Howard Hawks, Sam Peckinpah"
Albert Brooks,3,74,24.67,"Martin Scorsese, James L Brooks, Albert Brooks"
John Gavin,3,68,22.67,"Alfred Hitchcock, Douglas Sirk"
Lea Massari,3,59,19.67,"Michelangelo Antonioni, Dino Risi, Louis Malle"
Michel Subor,3,51,17.00,"Claire Denis, François Truffaut"
Roger Livesey,3,50,16.67,Michael Powell/Emeric Pressburger
Anthony Perkins,3,49,16.33,"Alfred Hitchcock, Orson Welles, Claude Chabrol"
Börje Ahlstedt,3,45,15.00,"Ingmar Bergman, Vilgot Sjöman"
Janet Leigh,3,45,15.00,"Orson Welles, John Carpenter, John Frankenheimer"
Peter Falk,3,39,13.00,"John Cassavetes, Elaine May"
Kyôko Kagawa,3,37,12.33,"Mizoguchi Kenji, Akira Kurosawa"
Jack Hawkins,3,35,11.67,"David Lean, William Wyler"
Brigitte Mira,3,34,11.33,"Rainer Werner Fassbinder, Werner Herzog"
Giulietta Masina,3,34,11.33,Federico Fellini
Rutger Hauer,3,34,11.33,"Ridley Scott, Ernie Gehr, Paul Verhoeven"
Denis Lavant,3,32,10.67,"Claire Denis, Leos Carax"
Dennis Price,3,29,9.67,"Michael Powell/Emeric Pressburger, Robert Hamer, Basil Dearden"
Li T'ien-lü,3,29,9.67,Hsiao-hsien Hou
Robert Ryan,3,29,9.67,"Sam Peckinpah, Fritz Lang, Nicholas Ray"
Victor Sjöström,3,29,9.67,"Ingmar Bergman, Victor Sjöström"
James Woods,3,28,9.33,"Sergio Leone, David Cronenberg, Oliver Stone"
Harriet Andersson,3,25,8.33,"Ingmar Bergman, Lars von Trier"
Richard Basehart,3,25,8.33,"Federico Fellini, Anatole Litvak"
Warren Oates,3,25,8.33,"Terrence Malick, Monte Hellman, Sam Peckinpah"
Malcolm McDowell,3,24,8.00,"Stanley Kubrick, Lindsay Anderson"
Charles Ruggles,3,23,7.67,"Howard Hawks, Rouben Mamoulian, Leo McCarey"
Katrin Cartlidge,3,23,7.67,"Lars von Trier, Mike Leigh, Milcho Manchevski"
George C. Scott,3,23,7.67,"Stanley Kubrick, Robert Rossen, Richard Lester"
Danielle Darrieux,3,22,7.33,"Max Ophüls, Vincent Paronnaud/Marjane Satrapi, Henri Decoin"
Donald Sutherland,3,22,7.33,"Nicolas Roeg, Federico Fellini, Fred Schepisi"
Mary Astor,3,22,7.33,"Vincente Minnelli, John Huston, Preston Sturges"
Nikolai Cherkasov,3,22,7.33,Sergei M Eisenstein
Robert Stack,3,22,7.33,"Ernst Lubitsch, Douglas Sirk"
Shelley Duvall,3,22,7.33,"Stanley Kubrick, Robert Altman, Terry Gilliam"
Charles Boyer,3,21,7.00,"Max Ophüls, Ernst Lubitsch, Vincente Minnelli"
John Travolta,3,21,7.00,"Quentin Tarantino, Brian De Palma, John Badham"
Miriam Hopkins,3,21,7.00,"Ernst Lubitsch, Rouben Mamoulian"
Paul Frankeur,3,21,7.00,"Luis Buñuel, Jacques Becker"
Uma Thurman,3,21,7.00,"Quentin Tarantino, Andrew Niccol"
Carole Lombard,3,20,6.67,"Ernst Lubitsch, Gregory La Cava, William A Wellman"
Maria Schneider,3,20,6.67,"Michelangelo Antonioni, Bernardo Bertolucci, Danield Schmid"
Joan Fontaine,3,19,6.33,"Max Ophüls, Fritz Lang, Alfred Hitchcock"
Joanne Dru,3,19,6.33,"Howard Hawks/Arthur Rosson, John Ford"
Richard Barthelmess,3,19,6.33,"Howard Hawks, D.W. Griffith, Henry King"
Valerie Hobson,3,19,6.33,"Robert Hamer, James Whale, David Lean"
Brigitte Lin Ching-hsia,3,19,6.33,"Wong Kar Wai, Jackie Chan"
Joan Greenwood,3,18,6.00,"Robert Hamer, Fritz Lang, Alexander Mackendrick"
John Goodman,3,18,6.00,"Joel & Ethan Coen, David Byrne"
Kirsten Dunst,3,18,6.00,"Lars von Trier, Michel Gondry, Sofia Coppola"
Lauren Bacall,3,18,6.00,"Howard Hawks, Douglas Sirk"
Rudolf Klein-Rogge,3,18,6.00,Fritz Lang
Sam Neill,3,18,6.00,"Jane Campion, Andrzej Zulawski, Gillian Armstrong"
Adolphe Menjou,3,17,5.67,"Stanley Kubrick, Charles Chaplin, Josef von Sternberg"
Mark Hamill,3,17,5.67,"George Lucas, Irvin Kershner, Samuel Fuller"
Richard Dreyfuss,3,17,5.67,"Steven Spielberg, Sidney Lumet"
Michael Murphy,3,16,5.33,"Woody Allen, Saul Bass, Oliver Stone"
Renato Salvatori,3,16,5.33,"Luchino Visconti, Mario Monicelli, Gillo Pontecorvo"
Lisa Kreuzer,3,15,5.00,Wim Wenders
Montgomery Clift,3,15,5.00,"Howard Hawks/Arthur Rosson, John Huston, George Stevens"
Rüdiger Vogler,3,15,5.00,"Wim Wenders, Margarethe von Trotta"
Vanda Duarte,3,15,5.00,Pedro Costa
Lionel Barrymore,3,14,4.67,"Frank Capra, Ernst Lubitsch, E. Mason Hopper"
Bruno Ganz,3,13,4.33,"Wim Wenders, Peter Handke"
Isabelle Adjani,3,13,4.33,"Andrzej Zulawski, Roman Polanski, Patrice Chereau"
Jeremy Irons,3,13,4.33,"David Lynch, David Cronenberg, Roland Joffé"
Mariko Okada,3,13,4.33,"Naruse Mikio, Ozu Yasujirô, Yoshishige Yoshida"
Shima Iwashita,3,13,4.33,"Ozu Yasujirô, Kobayashi Masaki, Shinoda Masahiro"
Bette Davis,3,12,4.00,"Joseph L. Mankiewicz, Irving Rapper, King Vidor"
Ingrid Caven,3,12,4.00,"Rainer Werner Fassbinder, Jean Eustache"
Marisa Paredes,3,12,4.00,"Pedro Almodóvar, Guillermo del Toro"
Waheeda Rehman,3,12,4.00,"Guru Dutt, Basu Bhattacharya"
Yves Montand,3,12,4.00,"Henri-Georges Clouzot, Jean-Luc Godard/Jean-Pierre Gorin, Costa-Gavras"
Harry Dean Stanton,3,12,4.00,"Wim Wenders, John Huston, David Lynch"
Conrad Veidt,3,11,3.67,"Robert Wiene, Paul Leni, Henrik Galeen"
Fredric March,3,11,3.67,"William Wyler, Rouben Mamoulian, William A Wellman"
Laura Dern,3,11,3.67,"David Lynch, Clint Eastwood"
Sean Connery,3,11,3.67,"Alfred Hitchcock, Guy Hamilton, Terry Gilliam"
Sigourney Weaver,3,11,3.67,"Ridley Scott, James Cameron, Peter Weir"
Silvana Mangano,3,11,3.67,"Pier Paolo Pasolini, Luchino Visconti"
Thomas Mitchell,3,11,3.67,"Victor Fleming, Fred Zinemann, John Ford"
Wang Hong Wei,3,11,3.67,Jia Zhang Ke
Frances McDormand,3,10,3.33,"Joel & Ethan Coen, Alan Parker"
Jean Yanne,3,10,3.33,"Jean-Luc Godard, Maurice Pialat, Claude Chabrol"
Keanu Reeves,3,10,3.33,"Andy Wachowski/Lana Wachowski, Gus van Sant, Kathryn Bigelow"
Alice Brady,3,9,3.00,"John Ford, Gregory La Cava, Mark Sandrich"
Donald Pleasence,3,9,3.00,"Roman Polanski, Ted Kotcheff, Clive Donner"
Jean Servais,3,9,3.00,"Max Ophüls, Marcel Pagnol, Jules Dassin"
Marlène Jobert,3,9,3.00,"Jean-Luc Godard, Maurice Pialat, Claude Chabrol"
Nagisa Oshima,3,9,3.00,"Nagisa Oshima, Chris Marker"
Olga Baclanova,3,9,3.00,"Tod Browning, Josef von Sternberg, Paul Leni"
Dominique Sanda,3,8,2.67,"Bernardo Bertolucci, Robert Bresson, Philippe Garrel"
Elia Suleiman,3,8,2.67,Elia Suleiman
Jessica Lange,3,8,2.67,"Bob Fosse, Sydney Pollack, Bob Rafelson"
Liza Minnelli,3,8,2.67,"Bob Fosse, Martin Scorsese, Vincente Minnelli"
