film_id,title_raw,title_searchable,director_raw,director_searchable,year,country,genre,film_type,category,actors_raw,actors_searchable,alternate_titles_raw,alternate_titles_searchable
4ce2b7b4b6f69,Symbiopsychotaxiplasm: Take One,symbiopsychotaxiplasm: take one,,,1967,USA,Artists' Moving Image,Film,,Patricia Ree Gilbert | Don Fellows | William Greaves,patricia ree gilbert | don fellows | william greaves,,
4ce2b7b4c238b,AHFEI ZHENJUANG,ahfei zhenjuang,Wong Kar Wai,wong kar wai,1990,Hong Kong,Drama,Film,Fiction,Leslie Cheung Kwok-wing | Maggie Cheung Man-yuk | Andy Lau Tak-wah,leslie cheung kwok-wing | maggie cheung man-yuk | andy lau tak-wah,A-FEI ZHENG CHUAN | NOS ANNÉES SAUVAGES | Days of Being Wild | AFEI ZHENGZHUAN | AH FEI ZHENG ZHUAN,a-fei zheng chuan | nos années sauvages | days of being wild | afei zhengzhuan | ah fei zheng zhuan
4ce2b7b54d000,The Piano,the piano,Jane Campion,jane campion,1992,Australia | France,Romance | Period drama,Film,Fiction,Holly Hunter | Harvey Keitel | Sam Neill,holly hunter | harvey keitel | sam neill,The Black Keys | The Piano Lesson | Pleasure | La Leçon de piano,the black keys | the piano lesson | pleasure | la lecon de piano
4ce2b7b5a8ba7,The Crying Game,the crying game,,,1992,United Kingdom | Japan,Drama,Film,Fiction,Forest Whitaker | Miranda Richardson | Stephen Rea,forest whitaker | miranda richardson | stephen rea,The Soldier's Wife,the soldier's wife
4ce2b7b637749,Unforgiven,unforgiven,Clint Eastwood,clint eastwood,1992,USA,Western,Film,Fiction,Clint Eastwood | Gene Hackman | Morgan Freeman,clint eastwood | gene hackman | morgan freeman,The William Munny Killings,the william munny killings
4ce2b7b656c2d,HOW TO BEHAVE,how to behave,Tran Van Thuy,tran van thuy,1985,S,Documentary,Film,Non Fiction,,,A Story of Kindness | A Story of Kindness or How to Behave,a story of kindness | a story of kindness or how to behave
4ce2b7b748e7c,MAHAL,mahal,Kamal Amrohi,kamal amrohi,1949,India,,Film,Fiction,Ashok Kumar | Madhubala | S. Nazir,ashok kumar | madhubala | s. nazir,,
4ce2b7b78a3f5,A Brighter Summer Day,a brighter summer day,Edward Yang,edward yang,1991,Taiwan,Romance | Drama,Film,Fiction,Zhang Zhen | Lisa Yang | Zhang Guozhu,zhang zhen | lisa yang | zhang guozhu,Gu-ling jie shao-nian sha ren shi-jian | Guling jie shaonian sha ren shijian | Gu ling jie shao nian sha ren shi jian,gu-ling jie shao-nian sha ren shi-jian | guling jie shaonian sha ren shijian | gu ling jie shao nian sha ren shi jian
4ce2b7b91366f,Night on Earth,night on earth,,,1991,France | United Kingdom | Germany | Japan | USA,Drama,Film,Fiction,Winona Ryder | Gena Rowlands | Giancarlo Esposito,winona ryder | gena rowlands | giancarlo esposito,LANewYorkParisRomeHelsinki | Taxisti Di Notte,lanewyorkparisromehelsinki | taxisti di notte
4ce2b7b9372f0,La Jetée,la jetee,,,1962,France,Science Fiction,Film,Fiction,Jean Négroni | Hélène Chatelain | Davos Hanich,jean negroni | helene chatelain | davos hanich,The Pier,the pier
