film_id,title_raw,title_searchable,director_raw,director_searchable,year,country,genre,film_type,category,actors_raw,actors_searchable,alternate_titles_raw,alternate_titles_searchable
4ce2b6938b54a,O Lucky Man!,o lucky man!,,,1973,United Kingdom | USA,Comedy | Fantasy,Film,Fiction,Malcolm McDowell | Ralph Richardson | Rachel Roberts,malcolm mcdowell | ralph richardson | rachel roberts,Lucky Man | Coffee Man,lucky man | coffee man
4ce2b693a1a98,Le TEMPESTAIRE,le tempestaire,Jean Epstein,jean epstein,1947,France,Fantasy,Film,Non Fiction,,,,
4ce2b693a235d,TERRA EM TRANSE,terra em transe,Glauber Rocha,glauber rocha,1967,Brazil,Drama,Film,Fiction,Jardel Filho | José Lewgoy | Glauce Rocha,jardel filho | jose lewgoy | glauce rocha,LAND IN TRANCE | LAND IN TORMENT | LAND IN ANGUISH | EARTH ENTRANCED,land in trance | land in torment | land in anguish | earth entranced
4ce2b693a2ab4,T.G.: Psychic Rally in Heaven,t.g.: psychic rally in heaven,Derek Jarman,derek jarman,1981,United Kingdom,Performance,Film,Fiction,Throbbing Gristle | Genesis P. Orridge | Chris Carter,throbbing gristle | genesis p. orridge | chris carter,Throbbing Gristle | Psychic Rally in Heaven,throbbing gristle | psychic rally in heaven
4ce2b693b2c90,DOBRO POZHALOVAT,dobro pozhalovat,Elem Klimov,elem klimov,1964,USSR,,Film,Fiction,Vitya Kosykh | Evgeny Evstignyev | Lydia Smirnova,vitya kosykh | evgeny evstignyev | lydia smirnova,NO HOLIDAY FOR INOCHKIN | WELCOME | WELCOME OR NO ENTRY FOR UNAUTHORISED PERSONS,no holiday for inochkin | welcome | welcome or no entry for unauthorised persons
4ce2b693c9d98,The Draughtsman's Contract,the draughtsman's contract,,,1982,United Kingdom,Period drama,Film,Fiction,Anthony Higgins | Janet Suzman | Anne Louise Lambert,anthony higgins | janet suzman | anne louise lambert,Meurtre Dans Un Jardin Anglais | Der Kontrakt Des Zeichners,meurtre dans un jardin anglais | der kontrakt des zeichners
4ce2b693ce4b7,Dune,dune,David Lynch,david lynch,1984,USA,Science Fiction,Film,Fiction,The Vienna Symphony Orchestra | Francesca Annis | Leonardo Cimino,the vienna symphony orchestra | francesca annis | leonardo cimino,,
4ce2b693ec5ed,E.T.  The Extra-terrestrial,e.t.  the extra-terrestrial,Steven Spielberg,steven spielberg,1982,USA,Science Fiction,Film,Fiction,Dee Wallace-Stone | Peter Coyote | Robert MacNaughton,dee wallace-stone | peter coyote | robert macnaughton,E.T. and Me | A Boy's Life,e.t. and me | a boy's life
4ce2b69412f2f,FAITS DIVERS,faits divers,,,1983,France,Documentary,Film,Non Fiction,,,NEWS ITEMS | MIXED REPORTS,news items | mixed reports
4ce2b69415af8,Fanny and Alexander,fanny and alexander,Ingmar Bergman,ingmar bergman,1982,France | Sweden | Federal Republic of Germany,Drama,Television,Fiction,Kristina Adolphson | Börje Ahlstedt | Pernilla Allwin,kristina adolphson | borje ahlstedt | pernilla allwin,Fanny och Alexander | Fanny und Alexander | Fanny et Alexandre,fanny och alexander | fanny und alexander | fanny et alexandre
4ce2b6943bc4f,Fast Times at Ridgemont High,fast times at ridgemont high,Amy Heckerling,amy heckerling,1982,USA,Comedy,Film,Fiction,Sean Penn | Jennifer Jason Leigh | Judge Reinhold,sean penn | jennifer jason leigh | judge reinhold,Fast Times,fast times
4ce2b6946027e,MUHAMMAD ALI THE GREATEST,muhammad ali the greatest,William Klein,william klein,1975,France,Sport | Documentary,Film,Non Fiction,Muhammad Ali | John Lennon | Paul McCartney,muhammad ali | john lennon | paul mccartney,,
4ce2b6946d914,Fitzcarraldo,fitzcarraldo,Werner Herzog,werner herzog,1981,Peru | Federal Republic of Germany,Drama | Historical drama,Film,Fiction,Klaus Kinski | José Lewgoy | Miguel Ángel Fuentes,klaus kinski | jose lewgoy | miguel angel fuentes,,
4ce2b6946f336,Fletch,fletch,Michael Ritchie,michael ritchie,1985,USA,Comedy | Crime,Film,Fiction,Chevy Chase | Joe Don Baker | Dana Wheeler-Nicholson,chevy chase | joe don baker | dana wheeler-nicholson,,
4ce2b6947702f,Four Friends,four friends,Arthur Penn,arthur penn,1981,USA,Drama,Film,Fiction,Craig Wasson | Jodi Thelen | Michael Huddleston,craig wasson | jodi thelen | michael huddleston,Georgia | Georgia's Friends,georgia | georgia's friends
4ce2b6947e49e,FUKUSHÛ SURU WA WARE NI ARI,fukushû suru wa ware ni ari,Shohei Imamura,shohei imamura,1979,Japan,Thriller,Film,Fiction,Ken Ogata | Rentarô Mikuni | Chocho Miyako,ken ogata | rentaro mikuni | chocho miyako,FUKUSHU SURUWA WARENI ARI | VENGEANCE IS MINE,fukushu suruwa wareni ari | vengeance is mine
4ce2b695532d5,Sisters,sisters,Brian De Palma,brian de palma,1972,USA,Horror,Film,Fiction,Margot Kidder | Jennifer Salt | Charles Durning,margot kidder | jennifer salt | charles durning,Blood Sisters,blood sisters
4ce2b69554d15,Die bleierne Zeit,die bleierne zeit,Margarethe von Trotta,margarethe von trotta,1981,Federal Republic of Germany,Drama,Film,Fiction,Jutta Lampe | Barbara Sukowa | Rüdiger Vogler,jutta lampe | barbara sukowa | rudiger vogler,The German Sisters | Leaden Times | Marianne and Juliane,the german sisters | leaden times | marianne and juliane
4ce2b69555337,Scarface,scarface,Brian De Palma,brian de palma,1983,USA,Gangster | Crime,Film,Fiction,Al Pacino | Steven Bauer | Michelle Pfeiffer,al pacino | steven bauer | michelle pfeiffer,,
4ce2b6955c6ba,Rear Window,rear window,Alfred Hitchcock,alfred hitchcock,1954,USA,Thriller,Film,Fiction,James Stewart | Grace Kelly | Wendell Corey,james stewart | grace kelly | wendell corey,,
4ce2b6956104b,Suspiria,suspiria,,,1977,Italy,Horror,Film,Fiction,Jessica Harper | Stefania Casini | Flavio Bucci,jessica harper | stefania casini | flavio bucci,,
4ce2b69562aa2,Apocalypse Now,apocalypse now,Francis Ford Coppola,francis ford coppola,1979,USA,War,Film,Fiction,Marlon Brando | Robert Duvall | Martin Sheen,marlon brando | robert duvall | martin sheen,Apocalypse Now  Redux,apocalypse now  redux
4ce2b6956f901,Young at Heart,young at heart,Gordon Douglas,gordon douglas,1955,USA,Musical | Romance,Film,Fiction,Doris Day | Frank Sinatra | Gig Young,doris day | frank sinatra | gig young,,
4ce2b6958918e,Gandhi,gandhi,Richard Attenborough,richard attenborough,1982,United Kingdom | India | USA,Biopic | Historical drama,Film,Fiction,Sultan Khan | Sharad Kumar | T.K. Ramakrishnan,sultan khan | sharad kumar | t.k. ramakrishnan,,
4ce2b69592ecf,"Paris, Texas","paris, texas",Wim Wenders,wim wenders,1984,France | United Kingdom | Federal Republic of Germany,Drama,Film,Fiction,Harry Dean Stanton | Nastassja Kinski | Dean Stockwell,harry dean stanton | nastassja kinski | dean stockwell,Motel Chronicles,motel chronicles
4ce2b69593482,Videodrome,videodrome,David Cronenberg,david cronenberg,1983,Canada,Horror | Science Fiction | Fantasy | Thriller,Film,Fiction,James Woods | Sonja Smits | Debbie Harry,james woods | sonja smits | debbie harry,,
4ce2b695e80e1,Broadway Danny Rose,broadway danny rose,Woody Allen,woody allen,1984,USA,Comedy,Film,Fiction,Woody Allen | Mia Farrow | Nick Apollo Forte,woody allen | mia farrow | nick apollo forte,,
4ce2b69612f7d,Burden of Dreams,burden of dreams,Les Blank,les blank,1982,USA,Documentary,Film,Non Fiction,Candace Laughlin | Werner Herzog | Klaus Kinski,candace laughlin | werner herzog | klaus kinski,,
4ce2b696e115a,FENG GUILAI DE REN,feng guilai de ren,Hou Hsiao-Hsien,hou hsiao-hsien,1983,Taiwan,Drama,Film,Fiction,Doze Niu Cheng-Tse | Lin Hsiu-ling | To Tsung-hua,doze niu cheng-tse | lin hsiu-ling | to tsung-hua,ALL THE YOUTHFUL DAYS | FENGGUI LAI DE REN | FENGGUEI LAI DE REN | The BOYS FROM FENGKUEI | The MAN FROM FENGKUEI | The BOYS OF FENGKUEI | FENG-KUEI-LAI-TE-JEN | FENG GUILAI  DE REN,all the youthful days | fenggui lai de ren | fengguei lai de ren | the boys from fengkuei | the man from fengkuei | the boys of fengkuei | feng-kuei-lai-te-jen | feng guilai  de ren
4ce2b69771deb,Merry Christmas Mr. Lawrence,merry christmas mr. lawrence,Nagisa Oshima,nagisa oshima,1983,United Kingdom | Japan | New Zealand,War,Film,Fiction,David Bowie | Tom Conti | Ryuichi Sakamoto,david bowie | tom conti | ryuichi sakamoto,Senjo No Merry Christmas | Happy Christmas Mr Lawrence | Senjou No Merii Kurisumasu | Furyo,senjo no merry christmas | happy christmas mr lawrence | senjou no merii kurisumasu | furyo
4ce2b6979a05b,Couch,couch,Andy Warhol,andy warhol,1966,USA,Drama,Film,Fiction,Gerard Malanga | Ondine | Allen Ginsberg,gerard malanga | ondine | allen ginsberg,,
4ce2b697b0230,"TATLO, DALAWA, ISA","tatlo, dalawa, isa",Lino Brocka,lino brocka,1975,Philippines,Anthology,Film,Fiction,Lolita Rodriguez | Hilda Koronel | Perla Bautista,lolita rodriguez | hilda koronel | perla bautista,"MGA HUGIS NG PAG - ASA (PART 1) | THREE, TWO, ONE | BUKAS MADILIM BUKAS | HELLOW SOLDIER","mga hugis ng pag - asa (part 1) | three, two, one | bukas madilim bukas | hellow soldier"
4ce2b697b6106,Time Bandits,time bandits,Terry Gilliam,terry gilliam,1981,United Kingdom,Comedy | Fantasy,Film,Fiction,John Cleese | Sean Connery | Shelley Duvall,john cleese | sean connery | shelley duvall,,
4ce2b697da1aa,A Colour Box,a colour box,Len Lye,len lye,1935,United Kingdom,Animation | Advert | Artists' Moving Image,Film,Non Fiction,,,,
4ce2b698324f9,Bang!,bang!,Bob Godfrey,bob godfrey,1967,United Kingdom,Comedy,Film,Fiction,Tony Gray | Bruce Lacey | Douglas Gray,tony gray | bruce lacey | douglas gray,Survivors,survivors
4ce2b6990f0f8,Blow Out,blow out,Brian De Palma,brian de palma,1981,USA,Thriller,Film,Fiction,John Travolta | Nancy Allen | John Lithgow,john travolta | nancy allen | john lithgow,Personal Effects | Blowout,personal effects | blowout
4ce2b69a0008d,AKAI SATSUI,akai satsui,,,1964,Japan,Melodrama,Film,Fiction,Masumi Harukawa | Kô Nishimura | Shigeru Tsuyuguchi,masumi harukawa | ko nishimura | shigeru tsuyuguchi,UNHOLY DESIRE | INTENTIONS OF MURDER | MURDEROUS DESIRE,unholy desire | intentions of murder | murderous desire
4ce2b69a1dde7,An American Werewolf in London,an american werewolf in london,John Landis,john landis,1981,United Kingdom | USA,Horror,Film,Fiction,David Naughton | Jenny Agutter | Griffin Dunne,david naughton | jenny agutter | griffin dunne,,
4ce2b69a3415f,À NOS AMOURS,à nos amours,Maurice Pialat,maurice pialat,1983,France,Drama,Film,Fiction,Sandrine Bonnaire | Dominique Besnehard | Maurice Pialat,sandrine bonnaire | dominique besnehard | maurice pialat,SUZANNE | TO OUR LOVES | NOS AMOURS,suzanne | to our loves | nos amours
4ce2b69a654d2,Aventurera,aventurera,Alberto Gout,alberto gout,1950,Mexico,Melodrama | Musical | Drama,Film,Fiction,Ninón Sevilla | Tito Junco | Andrea Palma,ninon sevilla | tito junco | andrea palma,La Maison de rendezvous | Adventurera,la maison de rendezvous | adventurera
4ce2b69a65ad2,Awaara,awaara,Raj Kapoor,raj kapoor,1951,India,Drama,Film,Fiction,Prithviraj Kapoor | Nargis | Raj Kapoor,prithviraj kapoor | nargis | raj kapoor,Awara | The Vagabond | The Tramp,awara | the vagabond | the tramp
4ce2b69a67807,The Angelic Conversation,the angelic conversation,Derek Jarman,derek jarman,1985,United Kingdom,Artists' Moving Image,Film,Fiction,Judi Dench | Paul Reynolds | Phillip Williamson,judi dench | paul reynolds | phillip williamson,,
4ce2b69a70c17,The Shetland Experience,the shetland experience,Derek Williams,derek williams,1977,United Kingdom,Documentary,Film,Non Fiction,Eric Porter,eric porter,,
4ce2b69ab2d31,BENILDE OU A VIRGEM MÃE,benilde ou a virgem mãe,,,1975,Portugal,Drama,Film,Fiction,Maria Amélia Aranda | Jorge Rola | Jacinto Ramos,maria amelia aranda | jorge rola | jacinto ramos,BENILDE VIRGIN AND MOTHER,benilde virgin and mother
4ce2b69ab97a8,RENAISSANCE,renaissance,,,1963,France,Animation,Film,Fiction,,,,
4ce2b69ac89d8,Blade Runner,blade runner,Ridley Scott,ridley scott,1982,Hong Kong | USA,Science Fiction,Film,Fiction,Harrison Ford | Rutger Hauer | Sean Young,harrison ford | rutger hauer | sean young,Do Androids Dream of Electric Sheep | The Android | When Androids Dream | Dangerous Days | Blade Runner - The Director's Cut | Blade Runner - The Final Cut,do androids dream of electric sheep | the android | when androids dream | dangerous days | blade runner - the director's cut | blade runner - the final cut
4ce2b69acae35,Blood Simple,blood simple,Joel Coen,joel coen,1983,USA,Film noir | Thriller,Film,Fiction,John Getz | Frances McDormand | Dan Hedaya,john getz | frances mcdormand | dan hedaya,,
4ce2b69acd14c,Bodas de sangre,bodas de sangre,Carlos Saura,carlos saura,1981,Spain,Artists' Moving Image,Film,Non Fiction,Antonio Gades | Cristina Hoyos | Juan Antonio Jimenéz,antonio gades | cristina hoyos | juan antonio jimenez,Blood Wedding,blood wedding
4ce2b69ad035e,Born in Flames,born in flames,Lizzie Borden,lizzie borden,1983,USA,Comedy | Drama,Film,Fiction,Honey | Adele Bertei | Jeanne Satterfield,honey | adele bertei | jeanne satterfield,,
4ce2b69ae8931,The Lady of the Dug-out,the lady of the dug-out,W.S. Van Dyke,w.s. van dyke,1918,USA,Western,Film,Fiction,Al Jennings | Frank Jennings | Corinne Grant,al jennings | frank jennings | corinne grant,,
4ce2b69aed562,Brazil,brazil,Terry Gilliam,terry gilliam,1985,United Kingdom | USA,Comedy | Science Fiction | Fantasy,Film,Fiction,Jonathan Pryce | Robert De Niro | Katherine Helmond,jonathan pryce | robert de niro | katherine helmond,,
4ce2b69aedb78,The Breakfast Club,the breakfast club,John Hughes,john hughes,1985,USA,Drama,Film,Fiction,Emilio Estevez | Paul Gleason | Anthony Michael Hall,emilio estevez | paul gleason | anthony michael hall,,
4ce2b69b211c2,A CAÇA,a caça,,,1963,Portugal,Drama,Film,Fiction,Albino Freitas | João de Almeida | António Santos,albino freitas | joao de almeida | antonio santos,"The HUNT,","the hunt,"
4ce2b69b291b4,CARMEN,carmen,Carlos Saura,carlos saura,1983,Spain,Drama | Performance,Film,Fiction,Antonio Gades | Laura del Sol | Paco de Lucía,antonio gades | laura del sol | paco de lucia,,
4ce2b69b90b75,CSONTVÁRY,csontvary,,,1979,Hungary,Biopic,Film,Fiction,Ichak Finci | Margit Dayka | Ágnes Báfalvi,ichak finci | margit dayka | agnes bafalvi,,
4ce2b69ba2b63,Pink Floyd  The Wall,pink floyd  the wall,Alan Parker,alan parker,1982,United Kingdom,Musical,Film,Fiction,Bob Geldof | Christine Hargreaves | James Laurenson,bob geldof | christine hargreaves | james laurenson,The Wall,the wall
4ce2b69c49e09,Rainbow Dance,rainbow dance,Len Lye,len lye,1936,United Kingdom,Animation | Advert | Artists' Moving Image,Film,Non Fiction,Rupert Doone,rupert doone,,
4ce2b69cd55bb,Juvenile Court,juvenile court,,,1973,USA,Documentary,Film,Non Fiction,,,,
4ce2b69d18ab1,The Moon and the Sledgehammer,the moon and the sledgehammer,Philip Trevelyan,philip trevelyan,1971,United Kingdom,Documentary,Film,Non Fiction,Kathy Page | Mr. Page | Kim Page,kathy page | mr. page | kim page,,
4ce2b69d3cf18,Trade Tattoo  The Rhythm of work-a-day Britain,trade tattoo  the rhythm of work-a-day britain,Len Lye,len lye,1937,United Kingdom,Animation | Advert | Artists' Moving Image,Film,Non Fiction,,,In Time with Industry,in time with industry
4ce2b69d41586,Spare Time,spare time,,,1939,United Kingdom,Documentary,Film,Non Fiction,Laurie Lee,laurie lee,British Workers,british workers
4ce2b69dee862,Grass  A Nation's Battle for Life,grass  a nation's battle for life,Merian C. Cooper | Ernest B. Schoedsack | Marguerite Harrison,merian c. cooper | ernest b. schoedsack | marguerite harrison,1925,USA,Actuality film,Film,Non Fiction,Ernest B. Schoedsack | Merian C. Cooper | Marguerite Harrison,ernest b. schoedsack | merian c. cooper | marguerite harrison,Grass | Grass: A Nation's Battle for Survival,grass | grass: a nation's battle for survival
4ce2b69e4d048,Fires Were Started,fires were started,,,1943,United Kingdom,War | Government sponsored film,Film,Non Fiction,George Gravett | Philip Wilson-Dickson | Fred Griffiths,george gravett | philip wilson-dickson | fred griffiths,I Was a Fireman,i was a fireman
4ce2b69e57fec,Listen to Britain,listen to britain,Humphrey Jennings | Stewart McAllister,humphrey jennings | stewart mcallister,1942,United Kingdom,Documentary | War | Government sponsored film,Film,Non Fiction,Leonard Brockington | Myra Hess | Bud Flanagan,leonard brockington | myra hess | bud flanagan,The Tin Hat Concerto | The Music of War | National Gallery 1941,the tin hat concerto | the music of war | national gallery 1941
4ce2b69ed04b6,A Diary for Timothy,a diary for timothy,Humphrey Jennings,humphrey jennings,1946,United Kingdom,Documentary | War | Government sponsored film,Film,Non Fiction,Michael Redgrave | George Woodbridge | Myra Hess,michael redgrave | george woodbridge | myra hess,,
4ce2b69f2a88f,Dont Look Back,dont look back,,,1967,USA,Documentary,Film,Non Fiction,Bob Dylan | Joan Baez | Donovan Leitch,bob dylan | joan baez | donovan leitch,,
4ce2b69f5f431,Berlin Symphony of a City,berlin symphony of a city,,,1927,Germany,Documentary,Film,Non Fiction,,,Berlin die Sinfonie der Großstadt | Berlin die Sinfonie Einer Grosstadt | Berlin - Simphonie eine Grosstadt | Symphony of a Great City | Berlin die Sinfonie der Gross-Stadt,berlin die sinfonie der großstadt | berlin die sinfonie einer grosstadt | berlin - simphonie eine grosstadt | symphony of a great city | berlin die sinfonie der gross-stadt
4ce2b69fd6963,Snow,snow,,,1963,United Kingdom,Artists' Moving Image,Film,Non Fiction,,,,
4ce2b69feebb1,PS ZUM LACHENDEN MANN,ps zum lachenden mann,Gerhard Scheumann | Walter Heynowski | Peter Voigt,gerhard scheumann | walter heynowski | peter voigt,1967,German Democratic Republic,Documentary,Film,Non Fiction,,,"PS TO ""THE LAUGHING MAN""","ps to ""the laughing man"""
4ce2b69ff14fb,Triumph of the Will,triumph of the will,,,1935,Germany,,Film,Non Fiction,Adolf Hitler | Rudolf Hess | Joseph Goebbels,adolf hitler | rudolf hess | joseph goebbels,TRIUMPH DES WILLENS | TRIUMPH DES WILLENS  Das DOKUMENT VOM REICHSPARTEITAG 1934,triumph des willens | triumph des willens  das dokument vom reichsparteitag 1934
4ce2b6a003354,Olympia,olympia,Leni Riefenstahl,leni riefenstahl,1938,Germany,Sport,Film,Non Fiction,Berlin Philharmonic Orchestra,berlin philharmonic orchestra,OLYMPISCHE SPIELE. FEST DER VÖLKER | OLYMPIADE BERLIN 1936  1 TEIL  FEST DER VÖLKER | FEST DER VÖLKER | OLYMPIA FILM 1 | OLYMPIAD BERLIN 1936 | OLYMPIAD FESTIVAL OF THE NATIONS,olympische spiele. fest der volker | olympiade berlin 1936  1 teil  fest der volker | fest der volker | olympia film 1 | olympiad berlin 1936 | olympiad festival of the nations
4ce2b6a0b6dbe,Ordinary Fascism,ordinary fascism,Mikhail Romm,mikhail romm,1965,USSR,Documentary,Film,Non Fiction,Duncan Elliott,duncan elliott,OBYKNOVENNYI FASHIZM | TRIUMPH OVER VIOLENCE | OBIKNOVENNII FASHIZM | COMMON FASCISM | Echo of the Jackboot,obyknovennyi fashizm | triumph over violence | obiknovennii fashizm | common fascism | echo of the jackboot
4ce2b6a12b958,Wind Vane,wind vane,,,1972,United Kingdom,Documentary | Artists' Moving Image,Film,Non Fiction,,,Wind Vane 1,wind vane 1
4ce2b6a21d217,Man with a Movie Camera,man with a movie camera,Dziga Vertov,dziga vertov,1929,USSR,Documentary,Film,Non Fiction,Mikhail Kaufman,mikhail kaufman,Chelovek s kinoapparatom | Человек с киноаппаратом | An Excerpt from the Diary of a Cameraman | The Man with the Movie Camera | Man with a Camera | Living Russia or The Man with the Camera | Moscow Today,chelovek s kinoapparatom | человек с киноаппаратом | an excerpt from the diary of a cameraman | the man with the movie camera | man with a camera | living russia or the man with the camera | moscow today
4ce2b6a21d7c1,Turksib,turksib,,,1929,USSR,Documentary,Film,Non Fiction,,,,
4ce2b6a2991ce,Minamata:The Victims and Their World,minamata:the victims and their world,Noriaki Tsuchimoto,noriaki tsuchimoto,1972,Japan,Documentary,Film,Non Fiction,,,MINAMATA - KANJASAN TO SONO SEKAI | MINAMATA: KANJA-SAN TO SONO SEKAI | MINAMATA,minamata - kanjasan to sono sekai | minamata: kanja-san to sono sekai | minamata
4ce2b6a29f46e,Rain,rain,Joris Ivens,joris ivens,1929,Netherlands,Amateur film | Artists' Moving Image,Film,Non Fiction,,,Regen,regen
4ce2b6a2a2062,Land without Bread,land without bread,Luis Buñuel,luis bunuel,1933,Spain,Documentary,Film,Non Fiction,Abel Jacquin,abel jacquin,Las hurdes | Unpromised Land | Tierra sin pan | Las hurdes: Tierra sin pan | Terre sans pain,las hurdes | unpromised land | tierra sin pan | las hurdes: tierra sin pan | terre sans pain
4ce2b6a2cbfdc,DÉPART DE JERUSALEM EN CHEMIN DE FER,départ de jerusalem en chemin de fer,,,1897,France,Documentary,Film,Non Fiction,,,GROUP OF MEN BY RUINS AND ON RAILWAY PLATFORM | LEAVING JERUSALEM BY RAILWAY,group of men by ruins and on railway platform | leaving jerusalem by railway
4ce2b6a316871,Anemic Cinema,anemic cinema,Marcel Duchamp,marcel duchamp,1926,France,Artists' Moving Image,Film,Non Fiction,,,Anaemic Cinema,anaemic cinema
4ce2b6a326288,FINIS TERRAE,finis terrae,Jean Epstein,jean epstein,1929,France,,Film,Non Fiction,,,,
4ce2b6a3274db,Rien que les Heures,rien que les heures,,,1926,France,Documentary | Artists' Moving Image,Film,Non Fiction,Clifford McLaglen | Philippe Hériat | Nina Chouvalova,clifford mclaglen | philippe heriat | nina chouvalova,The Book of Hours,the book of hours
4ce2b6a34d973,The Sinking of the Lusitania,the sinking of the lusitania,,,1918,USA,Animation | War,Film,Non Fiction,,,,
4ce2b6a36c8ca,... À VALPARAISO,... à valparaiso,Joris Ivens,joris ivens,1963,Chile | France,Disaster,Film,Non Fiction,Roger Pigaut,roger pigaut,,
4ce2b6a439bc9,L' Atalante,l' atalante,Jean Vigo,jean vigo,1934,France,Drama,Film,Fiction,Michel Simon | Dita Parlo | Jean Dasté,michel simon | dita parlo | jean daste,,
4ce2b6a4479c3,Even Dwarfs Started Small,even dwarfs started small,Werner Herzog,werner herzog,1970,Federal Republic of Germany,Drama,Film,Fiction,Helmut Döring | Gerd Gickel | Paul Glauer,helmut doring | gerd gickel | paul glauer,AUCH ZWERGE HABEN KLEIN ANGEFANGEN,auch zwerge haben klein angefangen
4ce2b6a44b82c,Au hasard Balthazar,au hasard balthazar,Robert Bresson,robert bresson,1966,France | Sweden,Drama,Film,Fiction,Anne Wiazemsky | Walter Green | François Lafarge,anne wiazemsky | walter green | francois lafarge,Min vän Balthazar | Balthazar,min van balthazar | balthazar
4ce2b6a453c5b,Le Voyage dans la Lune,le voyage dans la lune,,,1902,France,Science Fiction | Trick film,Film,Fiction,Georges Méliès,georges melies,A Trip to the Moon,a trip to the moon
4ce2b6a4576e4,The Baby and the Battleship,the baby and the battleship,Jay Lewis,jay lewis,1956,United Kingdom,Comedy,Film,Fiction,John Mills | Richard Attenborough | André Morell,john mills | richard attenborough | andre morell,,
4ce2b6a45f917,PHANTOM,phantom,,,1922,Germany,Drama,Film,Fiction,Alfred Abel | Frieda Richard | Aud Egede-Nissen,alfred abel | frieda richard | aud egede-nissen,,
4ce2b6a46ad1b,The Bad and the Beautiful,the bad and the beautiful,Vincente Minnelli,vincente minnelli,1952,USA,,Film,Fiction,Lana Turner | Kirk Douglas | Dick Powell,lana turner | kirk douglas | dick powell,Tribute to a Bad Man,tribute to a bad man
4ce2b6a470348,Badlands,badlands,Terrence Malick,terrence malick,1973,USA,Crime,Film,Fiction,Martin Sheen | Sissy Spacek | Warren Oates,martin sheen | sissy spacek | warren oates,La Ballade Sauvage,la ballade sauvage
4ce2b6a476a8b,The Awful Truth,the awful truth,Leo McCarey,leo mccarey,1937,USA,Comedy | Romance,Film,Fiction,Irene Dunne | Cary Grant | Ralph Bellamy,irene dunne | cary grant | ralph bellamy,,
4ce2b6a477be9,An Affair to Remember,an affair to remember,Leo McCarey,leo mccarey,1957,USA,Melodrama | Romance,Film,Fiction,Cary Grant | Deborah Kerr | Richard Denning,cary grant | deborah kerr | richard denning,,
4ce2b6a478dcd,BAISERS VOLÉS,baisers volés,François Truffaut,francois truffaut,1968,France,Comedy | Romance | Drama,Film,Fiction,Jean-Pierre Léaud | Delphine Seyrig | Claude Jade,jean-pierre leaud | delphine seyrig | claude jade,STOLEN KISSES,stolen kisses
4ce2b6a47c88b,Bakushû,bakushû,Yasujirō Ozu,yasujiro ozu,1951,Japan,Drama,Film,Fiction,Setsuko Hara | Chishu Ryu | Chikage Awashima,setsuko hara | chishu ryu | chikage awashima,Early Summer,early summer
4ce2b6a486a77,The Red Balloon,the red balloon,Albert Lamorisse,albert lamorisse,1956,France,Fantasy,Film,Fiction,Pascal Lamorisse | Georges Sellier | Vladimir Popov,pascal lamorisse | georges sellier | vladimir popov,Le Ballon rouge,le ballon rouge
4ce2b6a487959,Bambi,bambi,David Hand | Perce Pearce,david hand | perce pearce,1942,USA,Animation,Film,Fiction,Bobby Stewart | Donnie Dunagan | Hardie Albright,bobby stewart | donnie dunagan | hardie albright,,
4ce2b6a48ca02,Bande à part,bande a part,Jean-Luc Godard,jean-luc godard,1964,France,Crime,Film,Fiction,Jean-Luc Godard | Anna Karina | Sami Frey,jean-luc godard | anna karina | sami frey,The Outsiders | Band of Outsiders,the outsiders | band of outsiders
4ce2b6a48f8f6,BANDITI A ORGOSOLO,banditi a orgosolo,,,1961,Italy,Drama,Film,Fiction,Michele Cossu | Giuseppe Cuccu | Vittorina Pisano,michele cossu | giuseppe cuccu | vittorina pisano,BANDITS OF ORGOSOLO | BANDITS AT ORGOSOLO,bandits of orgosolo | bandits at orgosolo
4ce2b6a498bd1,Late Spring,late spring,Yasujiro Ozu,yasujiro ozu,1949,Japan,Drama,Film,Fiction,Chishu Ryu | Setsuko Hara | Yumeji Tsukioka,chishu ryu | setsuko hara | yumeji tsukioka,Banshun,banshun
4ce2b6a4a18d6,The African Queen,the african queen,John Huston,john huston,1952,United Kingdom | USA,War,Film,Fiction,Humphrey Bogart | Katharine Hepburn | Robert Morley,humphrey bogart | katharine hepburn | robert morley,,
4ce2b6a4d9b44,Beautiful People,beautiful people,,,1974,South Africa,Documentary,Film,Non Fiction,Jamie Uys | Paddy O'Byrne,jamie uys | paddy o'byrne,Animals Are Beautiful People,animals are beautiful people
4ce2b6a4e46d5,Becky Sharp,becky sharp,Rouben Mamoulian,rouben mamoulian,1935,USA,Period drama,Film,Fiction,Miriam Hopkins | Frances Dee | Cedric Hardwicke,miriam hopkins | frances dee | cedric hardwicke,,
4ce2b6a4f00fc,Begone Dull Care,begone dull care,Norman McLaren,norman mclaren,1949,Canada,Animation,Film,Non Fiction,,,Fantasia En Colores | Trübsal Ade! | Caprice En Couleurs | Capriccio a Colori,fantasia en colores | trubsal ade! | caprice en couleurs | capriccio a colori
4ce2b6a4f0f7d,The Beguiled,the beguiled,Don Siegel,don siegel,1970,USA,School programme and Educational film,Film,Fiction,Clint Eastwood | Geraldine Page | Elizabeth Hartman,clint eastwood | geraldine page | elizabeth hartman,,
4ce2b6a5074d0,L' Âge d'or,l' âge d'or,Luis Buñuel,luis bunuel,1930,France,Artists' Moving Image,Film,Fiction,Gaston Modot | Lya Lys | Caridad de Laberdesque,gaston modot | lya lys | caridad de laberdesque,L' Age d'or,l' age d'or
