voter_id,raw_film_title,normed_film_title,searchable_film_title,film_director,film_director_searchable,film_year,film_id
131,Europa 51,Europa 51,europa 51,Roberto Rossellini,roberto rossellini,1952,4ce2b6a9a615f
131,Flowers of Shanghai,Flowers of Shanghai,flowers of shanghai,Hsiao-hsien Hou,hsiao-hsien hou,1998,4ce2b80eaafad
131,Fort Apache,Fort Apache,fort apache,John Ford,john ford,1948,4ce2b6aa79614
131,Modern Times,Modern Times,modern times,Charles Chaplin,charles chaplin,1936,4ce2b6bbbf1e2
131,Only Angels Have Wings,Only Angels Have Wings,only angels have wings,Howard Hawks,howard hawks,1939,4ce2b6b22e4cd
131,Pierrot le Fou,Pierrot le Fou,pierrot le fou,Jean-Luc Godard,jean-luc godard,1965,4ce2b6b310bc0
131,Playtime,Playtime,playtime,Jacques Tati,jacques tati,1967,4ce2b6b3291db
131,Sansho Dayu,Sansho Dayu,sansho dayu,Mizoguchi Kenji,mizoguchi kenji,1954,4ce2b6b50a0d5
131,Tropical Malady,Tropical Malady,tropical malady,Apichatpong Weerasethakul,apichatpong weerasethakul,2004,4ce2b8a69d6fb
735,7th Heaven,7th Heaven,7th heaven,Frank Borzage,frank borzage,1927,4ce2b6b58c0c7
735,"Affair to Remember, An",An Affair to Remember,an affair to remember,Leo McCarey,leo mccarey,1957,4ce2b6a477be9
735,Au Hasard Balthazar,Au Hasard Balthazar,au hasard balthazar,Robert Bresson,robert bresson,1966,4ce2b6a44b82c
735,Gertrud,Gertrud,gertrud,Carl Theodor Dreyer,carl theodor dreyer,1964,4ce2b6ab03131
735,Imitation of Life,Imitation of Life,imitation of life,Douglas Sirk,douglas sirk,1959,4ce2b6ad028a9
735,Letter From an Unknown Woman,Letter From an Unknown Woman,letter from an unknown woman,Max Ophüls,max ophuls,1948,4ce2b6aec1d37
735,"Matter of Life and Death, A",A Matter of Life and Death,a matter of life and death,Michael Powell/Emeric Pressburger,michael powell/emeric pressburger,1946,4ce2b6b0210f1
735,"Searchers, The",The Searchers,the searchers,John Ford,john ford,1956,4ce2b6b54abdf
735,Tokyo Story,Tokyo Story,tokyo story,Ozu Yasujirô ,ozu yasujiro ,1953,4ce2b6b8908e4
735,Ugetsu Monogatari,Ugetsu Monogatari,ugetsu monogatari,Mizoguchi Kenji,mizoguchi kenji,1953,4ce2b6b94daff
604,How Green Was My Valley,How Green Was My Valley,how green was my valley,John Ford,john ford,1941,4ce2b6acb6fe3
604,Humanity and paper balloons,Humanity and paper balloons,humanity and paper balloons,Yamanaka Sadao,yamanaka sadao,1937,4ce2b6b194d13
604,Mirror,Mirror,mirror,Andrei Tarkovsky,andrei tarkovsky,1974,4ce2b6bb90873
604,Mother and Son,Mother and Son,mother and son,Aleksandr Sokurov,aleksandr sokurov,1997,4ce2b7fdef9f7
604,Ordet,Ordet,ordet,Carl Theodor Dreyer,carl theodor dreyer,1955,4ce2b752105a2
604,Performance,Performance,performance,Donald Cammell/Nicolas Roeg,donald cammell/nicolas roeg,1970,4ce2b6b2d8659
604,"River, The",The River,the river,Jean Renoir,jean renoir,1951,4ce2b6b46ab2d
604,Sweet Movie,Sweet Movie,sweet movie,Dusan Makavejev,dusan makavejev,1973,4ce2b775b801a
604,"Tree of Life, The",The Tree of Life,the tree of life,Terrence Malick,terrence malick,2010,4f4b8bf00dfa0
604,Vertigo,Vertigo,vertigo,Alfred Hitchcock,alfred hitchcock,1958,4ce2b6b9caca4
93,Andrei Rublev,Andrei Rublev,andrei rublev,Andrei Tarkovsky,andrei tarkovsky,1966,4ce2b6b7433c1
93,Apocalypse Now,Apocalypse Now,apocalypse now,Francis Ford Coppola,francis ford coppola,1979,4ce2b69562aa2
93,Dogville,Dogville,dogville,Lars von Trier,lars von trier,2003,4ce2b85bbfe0f
93,Gertrud,Gertrud,gertrud,Carl Theodor Dreyer,carl theodor dreyer,1964,4ce2b6ab03131
93,"Jetée, La",La Jetée,la jetee,Chris Marker,chris marker,1962,4ce2b7b9372f0
93,Magnolia,Magnolia,magnolia,Paul Thomas Anderson,paul thomas anderson,1999,4ce2b81fe24cb
93,Playtime,Playtime,playtime,Jacques Tati,jacques tati,1967,4ce2b6b3291db
93,"Tale of Tales, A",A Tale of Tales,a tale of tales,Yuri Norstein,yuri norstein,1979,4ce2b76ccb454
93,"Umbrellas of Cherbourg, The",The Umbrellas of Cherbourg,the umbrellas of cherbourg,Jacques Demy,jacques demy,1964,4ce2b6b295aa3
93,Walkabout,Walkabout,walkabout,Nicolas Roeg,nicolas roeg,1970,4ce2b6ba2864d
700,"Battle of Algiers, The",The Battle of Algiers,the battle of algiers,Gillo Pontecorvo,gillo pontecorvo,1966,4ce2b6f24787d
