film_id,votes,normed_film_title,film_director,film_year,country,genre,media_type,actors_raw
4ce2b7999fb6e,1,The Union of the Great Cause,Kozintsev and Leonid Trauberg,1927,USSR,Drama,Film,Piotr Soholevski | Sophie Magarill | Sergei Gerasimov
4ce2b799d216e,1,They Live,John Carpenter,1988,USA,Horror | Crime | Science Fiction,Film,Roddy Piper | Keith David | Meg Foster
10135,1,"What's Opera, Doc?",Chuck Jones,,,,,
10130,1,Ukuaru,Leida Laius,,,,,
4ce2b79a9ff45,1,"White Hunter, Black Heart",Clint Eastwood,1990,USA,Drama,Film,Clint Eastwood | Jeff Fahey | Charlotte Cornwell
4ce2b79aed367,1,From Saturday to Sunday,Gustav Machaty,1931,Czechoslovakia,,Film,Ladislav H. Struna | Magda Maderová | Jirína Sejbalová
4ce2b79b74f6c,1,Mapantsula,Oliver Schmitz,1988,Australia | United Kingdom | South Africa,Crime | Drama,Film,Thomas Mogotlane | Marcel van Heerden | Thembi Mtshali
50c30c6d14136,1,Sandow,William K.L. Dickson,,USA,,Film,Eugen Sandow
4ce2b79c26d23,1,The Lovers on the Bridge,Leos Carax,1991,France,Romance | Drama,Film,Alexandre Del Perugia | Juliette Binoche | Denis Lavant
4ce2b79cce368,1,Days of the Eclipse,Aleksandr Sokurov,1988,USSR,Drama,Film,Aleksei Ananishnov | Eskender Umarov | Irina Sokolova
4ce2b79d3ec22,1,Time of the Gypsies,Emir Kusturica,1989,Yugoslavia,Fantasy | Drama,Film,Davor Dujmovic | Bora Todorovic | Ljubica Adzovic
4ce2b79d45458,1,Mystery Train,Jim Jarmusch,1989,Japan | USA,Drama,Film,Masatoshi Nagase | Youki Kudoh | Screamin' Jay Hawkins
4ce2b79d51aa7,1,Yaaba,Idrissa Ouedraogo,1989,Switzerland | France | Burkina Faso (Upper Volta),Drama,Film,Fatima Sanga | Noufou Ouédraogo | Roukietou Barry
10129,1,Toute la mémoire du monde,Alain Resnais,,,,,
4ce2b79d584c0,1,Black Rain,Imamura Shohei,1988,Japan,Horror | War,Film,Yoshiko Tanaka | Kazuo Kitamura | Etsuko Ichihara
10128,1,Side/Walk/Shuttle,Ernie Gehr,,,,,
4ce2b79d60eb8,1,Looking for Langston,Isaac Julien,1989,United Kingdom,Drama,Film,Ben Ellison | Matthew Baidoo | Akim Mogaji
4ce2b79d86c35,1,The Seventh Continent,Michael Haneke,1989,Austria,Drama,Film,Birgit Doll | Dieter Berner | Leni Tanzer
4ce2b79d94ab6,1,Communion,Philippe Mora,1989,United Kingdom | USA,Science Fiction | Thriller,Film,Christopher Walken | Lindsay Crouse | Frances Sternhagen
10126,1,Capitalism: Slavery,Ken Jacobs,,,,,
4ce2b79e470e6,1,Frankenstein Unbound,Roger Corman,1990,USA,Horror | Science Fiction | Period drama,Film,John Hurt | Raul Julia | Bridget Fonda
10125,1,Cosmopolis,David Cronenberg,,,,,
4ce2b79ec63d7,1,Robocop,Paul Verhoeven,1987,USA,Police drama | Science Fiction,Film,Peter Weller | Nancy Allen | Dan O'Herlihy
4ce2b79ecfc51,1,To Sleep with Anger,Charles Burnett,1990,USA,,Film,Danny Glover | Paul Butler | Mary Alice
10122,1,Films of Nathaniel Dorsky,Nathaniel Dorsky,,,,,
4ce2b79ed55f3,1,As Tears Go By,Wong Kar Wai,1988,Hong Kong,Gangster,Film,Andy Lau Tak-wah | Maggie Cheung Man-yuk | Jacky Cheung Hok-yau
10114,1,Review 36th Year No.5,Uncredited,,,,,
4ce2b79f1ada9,1,Breakfast on the grass,Priit Pärn,1987,USSR,Animation,Film,
10113,1,Tuning the Instruments,Jerzy Kucia,,,,,
4ce2b8dfd88ce,1,Aaja Nachle,Anil Mehta,2007,India,Drama,Film,Madhuri Dixit | Darshan Jariwala | Raghuvir Yadav
4ce2b79f8c36c,1,And There Was Light,Otar Iosseliani,1989,France | Italy | Federal Republic of Germany,Drama,Film,Sigalon Sagna | Saly Badji | Binta Cisse
10111,1,Street of Crocodiles,Quay Brothers,,,,,
4ce2b7a14132c,1,His Wife is a Hen,Igor Kovalyov,1989,USSR,Animation,Film,
4ce2b7a2eb4b9,1,Terminator II: Judgement Day,James Cameron,1991,USA,Crime | Science Fiction | Thriller,Film,Arnold Schwarzenegger | Linda Hamilton | Edward Furlong
4ce2b7a36431f,1,Thelma & Louise,Ridley Scott,1991,USA,Road movie,Film,Susan Sarandon | Geena Davis | Harvey Keitel
10110,1,Anthem,Apichatpong Weerasethakul,,,,,
4ce2b7a4701b5,1,The Ear,Karel Kachyna,1969,Czechoslovakia,Thriller,Film,Radoslav Brzobohaty | Jirina Bohdalová | Jirí Císler
4ce2b7a5a6ccc,1,"Black Rose is an Emblem of Sorrow, Red Rose is an Emblem of Love",Sergei Solovyov,1990,USSR,Drama,Film,Tatiana Drubich | Lyudmila Savelyeva | Aleksandr Abdulov
