film_id,votes,normed_film_title,film_director,film_year,country,genre,media_type,actors_raw
4ce2b7faceb14,2,A Chronicle of a Disappearance,Elia Suleiman,1996,Israel | USA | Occupied Palestinian territories,Documentary,Film,Elia Suleiman | Ula Tabari | Nazira Suleiman
4ce2b7d7a093e,2,Exotica,Atom Egoyan,1994,Canada,Drama,Film,Bruce Greenwood | Mia Kirshner | Don McKellar
4ce2b6af56337,2,Lucía,Humberto Solás,1969,Cuba,Drama,Film,Raquel Revuelta | Eduardo Moure | Eslinda Núñez
4ce2b6b4624f5,2,Rio Grande,John Ford,1950,USA,Western,Film,John Wayne | Maureen O'Hara | Ben Johnson
4ce2b8e001eca,2,Black Swan,Darren Aronofsky,2010,USA,Thriller,Film,Natalie Portman | Vincent Cassel | Mila Kunis
4ce2b6f19c7e7,2,The Band Wagon,Vincente Minnelli,1953,USA,Musical,Film,Fred Astaire | Cyd Charisse | Oscar Levant
4ce2b7916e67e,2,The Last Laugh,F. W. Murnau,1924,Germany,Drama,Film,Emil Jannings | Maly Delschaft | Emilie Kurz
4ce2b6bb90b37,2,Zero de Conduite,Jean Vigo,1933,France,Artists' Moving Image,Film,Jean Dasté | Robert Le Flon | Du Verron
4ce2b8c558b63,2,WALL-E,Andrew Stanton,2008,USA,Comedy | Animation,Film,Ben Burtt | Elissa Knight | Jeff Garlin
4ce2b7c9dae2a,2,Videograms of a Revolution,Harun Farocki/Andrei Ujica,1993,Germany,Documentary,Film,
4ce2b6ae52fa0,2,Throne of Blood,Akira Kurosawa,1957,Japan,Drama,Film,Toshiro Mifune | Isuzu Yamada | Takashi Shimura
4ce2b6be8ccf5,2,Mean Streets,Martin Scorsese,1973,USA,Gangster | Crime,Film,Robert De Niro | Harvey Keitel | David Proval
4ce2b6b70d4ac,2,Splendor in the Grass,Elia Kazan,1961,USA,Drama,Film,Natalie Wood | Warren Beatty | Audrey Christie
4ce2b8a02e9bd,2,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,USA,Drama,Film,Jim Carrey | Kate Winslet | Kirsten Dunst
4ce2b6ad7b33b,2,The Music Room,Satyajit Ray,1958,India,Drama,Film,Chhabi Biswas | Padma Devi | Pinaki Sen Gupta
4ce2b79314351,2,"Distant Voices, Still Lives",Terence Davies,1988,United Kingdom | Federal Republic of Germany,Biopic | Historical drama,Film,Freda Dowie | Peter Postlethwaite | Angela Walsh
4ce2b87fe9a8c,2,Blissfully Yours,Apichatpong Weerasethakul,2002,Thailand,Drama,Film,Kanokporn Tongaram | Min Oo | Jenjira Jansuda
4ce2b6ac5e051,2,His Girl Friday,Howard Hawks,1939,USA,Comedy,Film,Cary Grant | Rosalind Russell | Ralph Bellamy
4ce2b73453fda,2,Kind Hearts and Coronets,Robert Hamer,1949,United Kingdom,Comedy | Crime,Film,Dennis Price | Valerie Hobson | Joan Greenwood
4ce2b6bbbab86,2,The Gold Rush,Charles Chaplin,1925,USA,Comedy,Film,Charles Chaplin | Mack Swain | Tom Murray
4ce2b6b461386,2,Rio Bravo,Howard Hawks,1958,USA,Western,Film,John Wayne | Dean Martin | Rick Nelson
4ce2b6be331c6,2,The House is Black,Forough Farrokhzad,1962,Iran,Documentary,Film,
4ce2b6a8be619,2,"Black God, White Devil",Glauber Rocha,1964,Brazil,Drama,Film,Geraldo del Rey | Yona Magalhães | Othon Bastos
4ce2b8021b76d,2,The Thin Red Line,Terrence Malick,1998,USA,War,Film,Sean Penn | Adrien Brody | James Caviezel
