khalik-allah,Khalik Allah,khalik allah,director,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/khalik-allah
sandra-alland,Sandra Alland,sandra alland,critic,Canada/UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/sandra-alland
julien-allen,Julien Allen,julien allen,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/julien-allen
thomas-allenbach,Thomas Allenbach,thomas allenbach,critic,Switzerland,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/thomas-allenbach
claire-allouche,Claire Allouche,claire allouche,critic,France,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/claire-allouche
nellie-alston,Nellie Alston,nellie alston,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/nellie-alston
tunico-amancio,Tunico Amâncio,tunico amancio,critic,Brazil,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/tunico-amancio
shola-amoo,Shola Amoo,shola amoo,director,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/shola-amoo
salvador-amores,Salvador Amores,salvador amores,critic,Mexico,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/salvador-amores
diego-andaluz,Diego Andaluz,diego andaluz,critic,US/Mexico,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/diego-andaluz
nirit-anderman,Nirit Anderman,nirit anderman,critic,Israel,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/nirit-anderman
allison-anders,Allison Anders,allison anders,director,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/allison-anders
jason-anderson,Jason Anderson,jason anderson,critic,Canada,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/jason-anderson
wes-anderson,Wes Anderson,wes anderson,director,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/wes-anderson
roy-andersson,Roy Andersson,roy andersson,director,,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/roy-andersson
fabio-andrade,Fábio Andrade,fabio andrade,critic,Brazil,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/fabio-andrade
dudley-andrew,Dudley Andrew,dudley andrew,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/dudley-andrew
geoff-andrew,Geoff Andrew,geoff andrew,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/geoff-andrew
mallory-andrews,Mallory Andrews,mallory andrews,critic,Canada,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/mallory-andrews
nigel-andrews,Nigel Andrews,nigel andrews,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/nigel-andrews
javier-angulo,Javier Angulo,javier angulo,critic,Spain,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/javier-angulo
alberto-anile,Alberto Anile,alberto anile,critic,Italy,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/alberto-anile
corrina-antrobus,Corrina Antrobus,corrina antrobus,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/corrina-antrobus
joao-antunes,João Antunes,joao antunes,critic,Portugal,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/joao-antunes
babak-anvari,Babak Anvari,babak anvari,director,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/babak-anvari
maria-aparicio,María Aparicio,maria aparicio,director,Argentina,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/maria-aparicio
adriano-apra,Adriano Aprà,adriano apra,critic,Italy,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/adriano-apra
sharofat-arabova,Sharofat Arabova,sharofat arabova,critic,Tajikistan,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/sharofat-arabova
magdalena-arau,Magdalena Arau,magdalena arau,critic,Argentina,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/magdalena-arau
inacio-araujo,Inácio Araújo,inacio araujo,critic,Brazil,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/inacio-araujo
ina-archer,Ina Archer,ina archer,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/ina-archer
ray-argall,Ray Argall,ray argall,director,Australia,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/ray-argall
ali-arikan,Ali Arikan,ali arikan,critic,Turkey,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/ali-arikan
andrey-arnold,Andrey Arnold,andrey arnold,critic,Austria,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/andrey-arnold
phuttiphong-aroonpheng,Phuttiphong Aroonpheng,phuttiphong aroonpheng,director,Thailand,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/phuttiphong-aroonpheng
alvaro-arroba,Álvaro Arroba,alvaro arroba,critic,Spain,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/alvaro-arroba
marco-arrocha,Marco Arrocha,marco arrocha,critic,Spain,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/marco-arrocha
jose-arroyo,José Arroyo,jose arroyo,critic,Spain/UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/jose-arroyo
anjelika-artyukh,Anjelika Artyukh,anjelika artyukh,critic,Russia,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/anjelika-artyukh
joana-ascensao,Joana Ascensão,joana ascensao,critic,Portugal,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/joana-ascensao
mark-asch,Mark Asch,mark asch,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/mark-asch
rodney-ascher,Rodney Ascher,rodney ascher,director,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/rodney-ascher
marina-ashioti,Marina Ashioti,marina ashioti,critic,UK/Cyprus,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/marina-ashioti
jessica-ashman,Jessica Ashman,jessica ashman,director,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/jessica-ashman
manuel-asin,Manuel Asín,manuel asin,critic,Spain,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/manuel-asin
jon-asp,Jon Asp,jon asp,critic,Sweden,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/jon-asp
luke-aspell,Luke Aspell,luke aspell,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/luke-aspell
matthew-asprey-gear,Matthew Asprey Gear,matthew asprey gear,critic,UK,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/matthew-asprey-gear
aditya-assarat,Aditya Assarat,aditya assarat,director,Thailand,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/aditya-assarat
olivier-assayas,Olivier Assayas,olivier assayas,director,France,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/olivier-assayas
ari-aster,Ari Aster,ari aster,director,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/ari-aster
emily-atef,Emily Atef,emily atef,director,Germany/France,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/emily-atef
jeronimo-atehortua,Jerónimo Atehortúa,jeronimo atehortua,director,Colombia,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/jeronimo-atehortua
michael-atkinson,Michael Atkinson,michael atkinson,critic,USA,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/michael-atkinson
herve-aubron,Hervé Aubron,herve aubron,critic,France,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/herve-aubron
jacques-aumont,Jacques Aumont,jacques aumont,critic,France,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/jacques-aumont
giuseppe-pupi-avati,Giuseppe Pupi Avati,giuseppe pupi avati,director,Italy,https://www.bfi.org.uk/sight-and-sound/greatest-films-all-time/all-voters/giuseppe-pupi-avati
