arun-a-k,Film Critic,10,Gulaal,gulaal,2009,Anurag Kashyap,anurag kashyap
arun-a-k,Film Critic,10,Gangs of Wasseypur,gangs of wasseypur,2012,Anurag Kashyap,anurag kashyap
arun-a-k,Film Critic,10,Anantaram,anantaram,1987,Adoor Gopalakrishnan,adoor gopalakrishnan
arun-a-k,Film Critic,10,Vidheyan,vidheyan,1993,Adoor Gopalakrishnan,adoor gopalakrishnan
arun-a-k,Film Critic,10,Trikaal,trikaal,1986,Shyam Benegal,shyam benegal
arun-a-k,Film Critic,10,Lost in Translation,lost in translation,2003,Sofia Coppola,sofia coppola
arun-a-k,Film Critic,10,There Will Be Blood,there will be blood,2007,Paul Thomas Anderson,paul thomas anderson
arun-a-k,Film Critic,10,Taxi Driver,taxi driver,1976,Martin Scorsese,martin scorsese
arun-a-k,Film Critic,10,8 1/2,8 1/2,1963,Federico Fellini,federico fellini
arun-a-k,Film Critic,10,A Clockwork Orange,a clockwork orange,1971,Stanley Kubrick,stanley kubrick
carlos-abascal-peiro,Director,10,La Règle du jeu,la regle du jeu,1939,Jean Renoir,jean renoir
carlos-abascal-peiro,Director,10,The Exterminating Angel,the exterminating angel,1962,Luis Buñuel,luis bunuel
carlos-abascal-peiro,Director,10,North by Northwest,north by northwest,1959,Alfred Hitchcock,alfred hitchcock
carlos-abascal-peiro,Director,10,Die Hard,die hard,1988,John McTiernan,john mctiernan
carlos-abascal-peiro,Director,10,The Conformist,the conformist,1970,Bernardo Bertolucci,bernardo bertolucci
carlos-abascal-peiro,Director,10,Terms of Endearment,terms of endearment,1983,James L. Brooks,james l. brooks
carlos-abascal-peiro,Director,10,Fanny and Alexander,fanny and alexander,1982,Ingmar Bergman,ingmar bergman
carlos-abascal-peiro,Director,10,Two Weeks in Another Town,two weeks in another town,1962,Vincente Minnelli,vincente minnelli
carlos-abascal-peiro,Director,10,Hana-Bi,hana-bi,1997,Takeshi Kitano,takeshi kitano
carlos-abascal-peiro,Director,10,In a Lonely Place,in a lonely place,1950,Nicholas Ray,nicholas ray
ali-abbasi,Director,10,Mirror,mirror,1975,Andrei Tarkovsky,andrei tarkovsky
ali-abbasi,Director,10,Close-up,close-up,1989,Abbas Kiarostami,abbas kiarostami
ali-abbasi,Director,10,A Clockwork Orange,a clockwork orange,1971,Stanley Kubrick,stanley kubrick
ali-abbasi,Director,10,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","jeanne dielman, 23 quai du commerce, 1080 bruxelles",1975,Chantal Akerman,chantal akerman
ali-abbasi,Director,10,Lost Highway,lost highway,1996,David Lynch,david lynch
ali-abbasi,Director,10,The Colour of Pomegranates,the colour of pomegranates,1968,Sergei Paradjanov,sergei paradjanov
ali-abbasi,Director,10,La strada,la strada,1954,Federico Fellini,federico fellini
ali-abbasi,Director,10,Idioterne,idioterne,1998,Lars von Trier,lars von trier
ali-abbasi,Director,10,"Salò, or the 120 Days of Sodom","salo, or the 120 days of sodom",1975,Pier Paolo Pasolini,pier paolo pasolini
ali-abbasi,Director,10,Haji Washington,haji washington,1998,Ali Hatami,ali hatami
mohammed-hashem-abdel-salam,"Writer, film critic, Journalist",10,Tokyo Story,tokyo story,1953,Yasujirō Ozu,yasujiro ozu
mohammed-hashem-abdel-salam,"Writer, film critic, Journalist",10,2001: A Space Odyssey,2001: a space odyssey,1968,Stanley Kubrick,stanley kubrick
mohammed-hashem-abdel-salam,"Writer, film critic, Journalist",10,8 1/2,8 1/2,1963,Federico Fellini,federico fellini
mohammed-hashem-abdel-salam,"Writer, film critic, Journalist",10,À bout de souffle,a bout de souffle,1960,Jean-Luc Godard,jean-luc godard
mohammed-hashem-abdel-salam,"Writer, film critic, Journalist",10,Au hasard Balthazar,au hasard balthazar,1966,Robert Bresson,robert bresson
mohammed-hashem-abdel-salam,"Writer, film critic, Journalist",10,Seven Samurai,seven samurai,1954,Akira Kurosawa,akira kurosawa
mohammed-hashem-abdel-salam,"Writer, film critic, Journalist",10,Mulholland Dr.,mulholland dr.,2001,David Lynch,david lynch
mohammed-hashem-abdel-salam,"Writer, film critic, Journalist",10,Stalker,stalker,1979,Andrei Tarkovsky,andrei tarkovsky
mohammed-hashem-abdel-salam,"Writer, film critic, Journalist",10,Sátántangó,satantango,1994,Béla Tarr,bela tarr
mohammed-hashem-abdel-salam,"Writer, film critic, Journalist",10,Cries and Whispers,cries and whispers,1972,Ingmar Bergman,ingmar bergman
mo-abdi,Critic,10,La Règle du jeu,la regle du jeu,1939,Jean Renoir,jean renoir
mo-abdi,Critic,10,Sansho the Bailiff,sansho the bailiff,1954,Kenji Mizoguchi,kenji mizoguchi
mo-abdi,Critic,10,Ordet,ordet,1955,Carl Th. Dreyer,carl th. dreyer
mo-abdi,Critic,10,Vertigo,vertigo,1958,Alfred Hitchcock,alfred hitchcock
mo-abdi,Critic,10,Le Procès,le proces,1962,Orson Welles,orson welles
mo-abdi,Critic,10,8 1/2,8 1/2,1963,Federico Fellini,federico fellini
mo-abdi,Critic,10,Onibaba,onibaba,1964,Kaneto Shindo,kaneto shindo
mo-abdi,Critic,10,Persona,persona,1966,Ingmar Bergman,ingmar bergman
mo-abdi,Critic,10,Bin-Jip,bin-jip,2004,Kim Ki-deok,kim ki-deok
mo-abdi,Critic,10,Enter the Void,enter the void,2010,Gaspar Noé,gaspar noe
gulnara-abikeyeva,TV journalist and professor in School of media and cinema,10,Rashomon,rashomon,1950,Akira Kurosawa,akira kurosawa
gulnara-abikeyeva,TV journalist and professor in School of media and cinema,10,The Land of Fathers,the land of fathers,1966,Shaken Aimanov,shaken aimanov
gulnara-abikeyeva,TV journalist and professor in School of media and cinema,10,Teorema,teorema,1968,Pier Paolo Pasolini,pier paolo pasolini
gulnara-abikeyeva,TV journalist and professor in School of media and cinema,10,Nebo Nashevo Detstva,nebo nashevo detstva,1967,Tolomush Okeyev,tolomush okeyev
gulnara-abikeyeva,TV journalist and professor in School of media and cinema,10,"Bom, Teoreum, Gaeul, Gyeowool, Geurigo, Bom","bom, teoreum, gaeul, gyeowool, geurigo, bom",2003,Kim Ki-deok,kim ki-deok
gulnara-abikeyeva,TV journalist and professor in School of media and cinema,10,Harmony Lessons,harmony lessons,2013,Emir Baigazin,emir baigazin
gulnara-abikeyeva,TV journalist and professor in School of media and cinema,10,Beshkempir,beshkempir,1998,Aktan Abdykalykov,aktan abdykalykov
gulnara-abikeyeva,TV journalist and professor in School of media and cinema,10,Gabbeh,gabbeh,1996,Mohsen Makhmalbaf,mohsen makhmalbaf
gulnara-abikeyeva,TV journalist and professor in School of media and cinema,10,Inception,inception,2010,Christopher Nolan,christopher nolan
gulnara-abikeyeva,TV journalist and professor in School of media and cinema,10,Ship of Theseus,ship of theseus,2012,Anand Gandhi,anand gandhi
raphael-abraham,Deputy arts editor,10,Metropolis,metropolis,1927,Fritz Lang,fritz lang
raphael-abraham,Deputy arts editor,10,M,m,1931,Fritz Lang,fritz lang
raphael-abraham,Deputy arts editor,10,Citizen Kane,citizen kane,1941,Orson Welles,orson welles
raphael-abraham,Deputy arts editor,10,Rashomon,rashomon,1950,Akira Kurosawa,akira kurosawa
raphael-abraham,Deputy arts editor,10,À bout de souffle,a bout de souffle,1960,Jean-Luc Godard,jean-luc godard
raphael-abraham,Deputy arts editor,10,The French Connection,the french connection,1971,William Friedkin,william friedkin
raphael-abraham,Deputy arts editor,10,Do the Right Thing,do the right thing,1989,Spike Lee,spike lee
raphael-abraham,Deputy arts editor,10,GoodFellas,goodfellas,1990,Martin Scorsese,martin scorsese
raphael-abraham,Deputy arts editor,10,Margaret,margaret,2008,Kenneth Lonergan,kenneth lonergan
raphael-abraham,Deputy arts editor,10,Toni Erdmann,toni erdmann,2016,Maren Ade,maren ade
amjad-abu-alala,Film Director & Producer ,10,12 Angry Men,12 angry men,1956,Sidney Lumet,sidney lumet
amjad-abu-alala,Film Director & Producer ,10,Persona,persona,1966,Ingmar Bergman,ingmar bergman
amjad-abu-alala,Film Director & Producer ,10,Mirror,mirror,1975,Andrei Tarkovsky,andrei tarkovsky
amjad-abu-alala,Film Director & Producer ,10,Bab Al-Hadid,bab al-hadid,1958,Youssef Chahine,youssef chahine
amjad-abu-alala,Film Director & Producer ,10,Mia Eoniotita Ke Mia Mera,mia eoniotita ke mia mera,1998,Theo Angelopoulos,theo angelopoulos
amjad-abu-alala,Film Director & Producer ,10,Akira Kurosawa's Dreams,akira kurosawa's dreams,1990,Akira Kurosawa,akira kurosawa
amjad-abu-alala,Film Director & Producer ,10,Taste of Cherry,taste of cherry,1997,Abbas Kiarostami,abbas kiarostami
amjad-abu-alala,Film Director & Producer ,10,Dancer In The Dark,dancer in the dark,2000,Lars von Trier,lars von trier
amjad-abu-alala,Film Director & Producer ,10,Krótki Film O Zabijaniu,krotki film o zabijaniu,1987,Krzysztof Kieslowski,krzysztof kieslowski
amjad-abu-alala,Film Director & Producer ,10,A Torinói Ió,a torinoi io,2011,Béla Tarr,bela tarr
inka-achte,Head of Programming,10,The Arbor,the arbor,2010,Clio Barnard,clio barnard
inka-achte,Head of Programming,10,Lilja 4-Ever,lilja 4-ever,2002,Lukas Moodysson,lukas moodysson
inka-achte,Head of Programming,10,American Honey,american honey,2016,Andrea Arnold,andrea arnold
inka-achte,Head of Programming,10,Get Out,get out,2017,Jordan Peele,jordan peele
inka-achte,Head of Programming,10,Kynodontas,kynodontas,2009,Yorgos Lanthimos,yorgos lanthimos
inka-achte,Head of Programming,10,Festen,festen,1998,Thomas Vinterberg,thomas vinterberg
inka-achte,Head of Programming,10,Under the Skin,under the skin,2013,Jonathan Glazer,jonathan glazer
inka-achte,Head of Programming,10,Beau travail,beau travail,1998,Claire Denis,claire denis
inka-achte,Head of Programming,10,Deliverance,deliverance,1972,John Boorman,john boorman
inka-achte,Head of Programming,10,Secrets & Lies,secrets & lies,1996,Mike Leigh,mike leigh
panos-achtsioglou,Festival programmer / Film critic,10,Vertigo,vertigo,1958,Alfred Hitchcock,alfred hitchcock
panos-achtsioglou,Festival programmer / Film critic,10,Citizen Kane,citizen kane,1941,Orson Welles,orson welles
panos-achtsioglou,Festival programmer / Film critic,10,2001: A Space Odyssey,2001: a space odyssey,1968,Stanley Kubrick,stanley kubrick
panos-achtsioglou,Festival programmer / Film critic,10,Battleship Potemkin,battleship potemkin,1925,Sergei M. Eisenstein,sergei m. eisenstein
panos-achtsioglou,Festival programmer / Film critic,10,Seven Samurai,seven samurai,1954,Akira Kurosawa,akira kurosawa
panos-achtsioglou,Festival programmer / Film critic,10,Taxi Driver,taxi driver,1976,Martin Scorsese,martin scorsese
panos-achtsioglou,Festival programmer / Film critic,10,Stalker,stalker,1979,Andrei Tarkovsky,andrei tarkovsky
panos-achtsioglou,Festival programmer / Film critic,10,Tokyo Story,tokyo story,1953,Yasujirō Ozu,yasujiro ozu
panos-achtsioglou,Festival programmer / Film critic,10,Chinatown,chinatown,1974,Roman Polanski,roman polanski
